,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.89,0.76,1.05,0.98,0.69,0.48,0.5,0.57,0.4,0.47,0.38,0.37,0.38,0.34,0.32
d_1,1.09,1.0,1.03,0.84,0.82,0.72,0.46,0.39,0.41,0.51,0.38,0.42,0.34,0.31,0.33,0.25
f_1,1.33,0.95,1.0,0.98,0.8,0.62,0.43,0.49,0.46,0.4,0.37,0.38,0.27,0.27,0.31,0.32
c_1,0.96,1.19,1.02,1.0,1.29,0.8,0.49,0.52,0.35,0.4,0.4,0.35,0.38,0.33,0.3,0.29
b_1,1.02,1.2,1.28,0.82,1.0,1.29,0.57,0.54,0.45,0.56,0.45,0.48,0.42,0.39,0.3,0.37
a_1,1.4,1.38,1.61,1.23,0.8,1.0,0.7,0.65,0.59,0.6,0.49,0.67,0.48,0.43,0.48,0.43
h_1,2.12,2.12,2.33,2.03,1.73,1.45,1.0,1.05,0.89,0.82,0.85,0.82,0.74,0.72,0.66,0.72
g_1,2.01,2.49,2.07,1.96,1.81,1.57,1.0,1.0,0.87,0.9,0.98,0.86,0.67,0.73,0.65,0.64
d_0,1.82,2.53,2.08,2.79,2.13,1.8,1.2,1.15,1.0,0.85,0.89,0.77,0.8,0.78,0.69,0.75
c_0,2.51,1.91,2.55,2.46,1.79,1.62,1.23,1.1,1.19,1.0,0.97,1.23,0.91,0.82,0.92,0.73
f_0,2.12,2.66,2.68,2.44,2.14,1.96,1.23,1.05,1.14,1.01,1.0,1.04,0.94,1.19,0.75,0.69
b_0,2.53,2.25,2.54,2.8,2.1,1.52,1.27,1.16,1.25,0.85,1.03,1.0,0.89,0.81,1.03,0.81
h_0,2.76,2.95,3.47,2.7,2.45,2.05,1.36,1.52,1.21,1.1,1.07,1.18,1.0,0.95,0.84,0.88
e_0,2.68,3.18,3.7,2.96,2.64,2.24,1.44,1.37,1.28,1.23,0.9,1.26,1.06,1.0,0.96,0.84
a_0,2.95,3.05,3.1,3.57,3.21,2.05,1.6,1.54,1.49,1.06,1.24,0.98,1.12,1.02,1.0,1.02
g_0,3.12,3.88,3.28,3.38,2.71,2.32,1.44,1.58,1.35,1.34,1.45,1.26,1.11,1.19,0.91,1.01
