,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.23,2.47,4.66,3.1,2.72,2.32,9.32,9.26,11.05,13.44,12.18,9.5,18.86,12.85,10.4,18.11
d_1,3.09,6.3,2.67,2.5,2.58,2.84,10.46,11.22,21.61,9.26,16.87,14.23,19.71,16.63,14.81,19.38
e_1,3.05,2.49,6.57,3.5,2.71,2.51,11.22,10.26,11.96,21.45,12.74,13.92,21.63,12.69,12.09,21.14
c_1,2.88,2.62,2.53,6.84,4.76,3.12,9.95,9.11,7.92,12.58,9.6,12.92,19.44,12.81,12.74,19.77
b_1,2.68,2.92,2.46,2.56,7.57,5.9,9.63,9.99,11.15,12.5,9.24,13.6,19.44,11.21,14.25,22.58
a_1,3.18,2.64,2.78,3.1,2.98,11.0,12.51,10.53,12.83,11.89,13.03,14.35,20.81,9.72,15.58,22.03
h_1,3.74,3.02,3.18,3.24,2.49,2.81,20.93,14.03,13.44,11.84,15.22,14.39,17.57,15.34,15.65,29.3
g_1,3.0,4.21,2.35,2.9,2.94,2.84,10.37,22.83,15.38,11.31,13.59,20.42,19.45,14.84,18.4,20.08
c_0,3.48,3.51,2.86,2.66,2.27,2.38,11.13,12.75,20.99,13.68,25.4,16.03,24.3,19.05,14.93,22.29
d_0,2.99,2.25,2.72,5.23,3.22,2.53,11.21,10.94,9.81,20.32,14.87,15.25,20.29,15.11,15.04,20.67
b_0,3.19,3.36,3.0,3.52,2.0,2.31,12.16,12.1,15.25,14.75,23.55,16.25,23.63,26.55,15.86,23.2
f_0,2.63,3.41,2.39,3.37,3.14,3.08,11.99,11.24,15.45,14.15,16.62,23.86,23.86,16.3,30.88,24.31
h_0,4.08,3.45,3.0,2.74,2.65,2.78,7.99,14.45,14.27,12.32,14.45,13.53,18.43,13.23,13.97,28.4
a_0,3.13,3.13,3.1,3.42,2.91,2.23,9.81,11.94,14.5,14.52,14.69,14.82,22.72,28.66,18.26,19.93
e_0,3.29,3.04,2.58,3.09,3.14,3.31,11.56,13.07,15.54,12.9,17.87,15.39,23.02,17.58,29.7,21.59
g_0,2.78,4.35,2.86,2.84,2.38,2.91,10.48,9.23,14.27,10.81,15.74,21.48,22.13,14.35,17.51,20.85
