,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.9,0.95,0.93,0.81,0.58,0.57,0.75,0.66,0.57,0.52,0.47,0.49,0.54,0.63
e_1,0.81,1.0,0.97,1.24,0.93,0.88,0.76,0.65,0.66,0.85,0.65,0.76,0.63,0.58,0.66,0.62
d_1,1.11,1.04,1.0,0.82,0.9,0.9,0.7,0.89,0.53,0.72,0.72,0.65,0.63,0.62,0.64,0.48
c_1,1.05,0.81,1.22,1.0,1.6,0.73,0.69,0.5,0.7,0.43,0.54,0.57,0.61,0.58,0.52,0.59
b_1,1.08,1.06,1.12,0.62,1.0,1.42,0.89,0.74,0.69,0.73,0.64,0.63,0.68,0.52,0.55,0.65
a_1,1.23,1.14,1.11,1.38,0.71,1.0,0.89,0.73,0.77,0.92,0.86,0.81,0.84,0.9,0.62,0.69
h_1,1.66,1.33,1.4,1.46,1.16,1.09,1.0,0.9,1.13,0.83,0.88,0.79,0.85,0.85,0.76,0.9
c_0,1.7,1.57,1.13,2.19,1.33,1.23,1.08,1.0,1.08,1.12,1.34,0.93,0.97,1.05,0.81,0.85
g_1,1.3,1.51,1.85,1.43,1.46,1.29,0.88,0.95,1.0,0.9,0.88,1.12,0.77,0.79,0.69,0.75
d_0,1.47,1.18,1.46,2.22,1.41,1.1,1.25,0.92,1.11,1.0,1.01,0.84,0.98,0.93,0.88,0.78
b_0,1.76,1.56,1.39,1.82,1.56,1.17,1.14,0.77,1.15,0.98,1.0,0.94,1.04,1.34,0.88,0.76
f_0,1.83,1.35,1.54,1.67,1.54,1.3,1.32,1.08,0.86,1.13,1.05,1.0,1.09,1.08,1.4,0.71
h_0,1.95,1.58,1.65,1.66,1.47,1.14,1.19,1.03,1.31,1.02,0.97,0.95,1.0,0.85,0.98,1.12
a_0,2.03,1.69,1.57,1.82,1.87,1.21,1.19,1.0,1.35,1.12,0.81,0.99,1.16,1.0,1.01,1.01
e_0,1.89,1.59,1.63,1.84,1.73,1.54,1.38,1.16,1.49,1.15,1.18,0.74,1.07,0.97,1.0,0.98
g_0,1.57,1.61,2.18,1.73,1.55,1.37,1.09,1.14,1.31,1.23,1.27,1.47,0.93,1.03,1.05,1.0
