,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.61,0.94,0.9,0.97,0.78,0.66,0.67,0.98,0.73,0.62,0.66,0.52,0.5,0.75,
f_1,1.64,1.0,0.98,0.98,0.79,0.98,0.53,0.56,0.69,0.61,0.66,,0.49,0.58,0.46,0.56
d_1,1.07,1.02,1.0,0.98,0.89,0.94,0.76,0.56,,0.9,0.58,0.61,0.63,0.62,0.47,0.54
c_1,1.11,1.02,1.02,1.0,1.54,0.78,0.8,0.74,0.52,,0.58,0.6,0.7,0.56,0.49,0.51
b_1,1.03,1.26,1.13,0.65,1.0,1.23,0.83,0.88,0.55,0.75,,0.94,0.54,0.54,0.57,0.58
a_1,1.29,1.02,1.07,1.28,0.81,1.0,1.03,0.7,0.76,0.84,0.77,0.87,0.88,,,
h_1,1.52,1.87,1.31,1.25,1.21,0.97,1.0,1.06,1.05,0.85,0.77,0.88,,0.9,0.78,0.76
g_1,1.49,1.78,1.78,1.36,1.14,1.43,0.94,1.0,0.92,0.79,0.98,1.12,0.87,0.8,,0.78
d_0,1.02,1.44,,1.93,1.82,1.31,0.96,1.09,1.0,0.92,1.04,0.77,1.07,0.89,0.99,0.73
c_0,1.37,1.63,1.11,,1.33,1.2,1.17,1.27,1.09,1.0,1.39,0.65,1.0,0.67,1.09,0.89
b_0,1.62,1.51,1.73,1.73,,1.3,1.3,1.02,0.96,0.72,1.0,1.1,0.98,1.45,0.72,0.79
f_0,1.51,,1.63,1.66,1.07,1.14,1.14,0.89,1.31,1.54,0.91,1.0,1.04,0.8,0.67,1.15
h_0,1.92,2.04,1.6,1.43,1.85,1.14,,1.16,0.94,1.0,1.02,0.96,,0.94,1.21,0.9
a_0,1.98,1.73,1.61,1.79,1.84,,1.12,1.25,1.12,1.48,0.69,1.24,1.06,1.0,1.19,
g_0,1.34,2.18,2.14,2.04,1.74,,1.29,,1.01,0.92,1.39,1.5,0.83,0.84,,1.05
e_0,,1.79,1.86,1.96,1.71,,1.31,1.28,1.37,1.13,1.26,0.87,1.11,,0.95,1.0
