,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.43,0.91,1.8,2.34,1.88,1.83,0.49,0.64,0.38,0.34,0.45,0.35,0.24,0.71,0.32,0.39
f_1,1.69,0.42,1.47,1.76,1.7,1.66,0.38,0.69,0.39,0.35,0.73,0.36,0.19,0.37,0.27,0.3
d_1,2.1,1.84,0.41,1.97,1.61,1.68,0.46,0.31,0.95,0.29,0.33,0.35,0.26,0.37,0.17,0.32
c_1,1.45,2.17,2.4,0.42,1.76,1.79,0.5,0.44,0.18,0.55,0.31,0.36,0.25,0.31,0.26,0.31
b_1,1.74,1.94,2.06,1.1,0.4,1.86,0.61,0.59,0.4,0.53,0.39,0.77,0.34,0.44,0.34,0.55
a_1,2.63,3.18,2.42,2.08,1.23,0.33,0.67,0.82,0.51,0.57,0.48,0.5,0.39,0.41,0.31,0.75
h_1,2.9,2.8,2.59,2.82,3.2,2.47,0.33,0.84,0.65,0.56,0.59,0.62,0.69,0.48,0.4,0.51
g_1,3.21,3.5,2.96,3.2,3.04,2.76,0.71,0.3,0.6,0.56,0.7,0.63,0.32,0.64,0.57,0.52
d_0,1.83,3.88,5.25,2.98,3.05,3.06,1.07,1.04,0.37,0.66,0.79,0.71,0.46,0.78,0.58,0.69
c_0,3.18,3.47,1.86,7.92,3.61,2.82,0.86,0.98,0.94,0.36,0.72,0.7,0.52,0.69,0.46,0.64
f_0,3.04,6.59,3.03,3.21,4.52,2.81,0.96,0.57,0.66,0.6,0.34,0.62,0.49,0.67,0.29,0.69
b_0,3.19,3.44,2.56,4.87,7.76,3.34,0.93,0.85,0.96,0.34,0.71,0.34,0.54,0.76,0.49,0.59
h_0,3.74,3.7,4.23,3.88,3.45,3.89,1.68,0.98,0.75,0.75,0.91,0.73,0.79,0.73,0.6,0.66
e_0,6.02,6.57,3.81,3.87,3.79,4.06,1.32,0.92,0.99,0.75,0.39,0.76,0.62,0.28,0.54,0.56
g_0,4.44,5.24,3.47,4.75,4.46,3.44,0.89,1.63,0.96,0.82,0.79,0.75,0.48,0.9,0.79,0.84
a_0,4.14,4.27,3.55,4.43,6.3,5.75,1.24,1.23,0.85,0.72,0.82,0.42,0.61,0.91,0.69,0.32
