,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.17,0.43,0.87,0.91,0.84,0.78,0.25,0.21,0.15,0.18,0.18,0.18,0.13,0.52,0.15,0.18
f_1,0.74,0.17,0.67,0.7,0.82,0.81,0.16,0.24,0.17,0.15,0.29,0.18,0.1,0.15,0.15,0.14
d_1,0.98,0.83,0.16,0.83,0.83,0.62,0.23,0.14,0.13,0.43,0.17,0.14,0.1,0.14,0.07,0.12
c_1,0.57,0.86,0.91,0.15,0.82,0.79,0.22,0.28,0.33,0.08,0.13,0.15,0.1,0.12,0.11,0.16
b_1,0.77,0.98,0.84,0.41,0.12,0.74,0.27,0.33,0.2,0.17,0.16,0.38,0.13,0.15,0.12,0.19
a_1,1.06,0.84,0.74,0.77,0.4,0.1,0.26,0.2,0.16,0.15,0.18,0.21,0.1,0.16,0.13,0.45
h_1,0.64,0.68,0.62,0.6,0.54,0.54,0.06,0.18,0.13,0.14,0.13,0.13,0.16,0.12,0.09,0.11
g_1,0.61,0.67,0.64,0.77,0.62,0.54,0.12,0.05,0.13,0.15,0.15,0.13,0.07,0.12,0.15,0.14
c_0,0.67,0.6,0.32,1.74,0.68,0.59,0.18,0.17,0.07,0.19,0.14,0.13,0.1,0.12,0.09,0.18
d_0,0.32,0.65,1.21,0.65,0.68,0.73,0.17,0.2,0.14,0.07,0.12,0.15,0.09,0.16,0.11,0.14
f_0,0.51,1.22,0.59,0.69,0.6,0.61,0.18,0.11,0.11,0.12,0.06,0.13,0.1,0.12,0.05,0.11
b_0,0.52,0.6,0.54,0.89,1.47,0.7,0.17,0.15,0.07,0.15,0.11,0.05,0.09,0.15,0.1,0.12
h_0,0.58,0.59,0.51,0.56,0.68,0.47,0.3,0.21,0.14,0.14,0.13,0.12,0.14,0.11,0.09,0.12
e_0,1.11,0.79,0.58,0.64,0.49,0.61,0.13,0.19,0.1,0.14,0.06,0.1,0.11,0.04,0.06,0.12
g_0,0.55,0.7,0.57,0.62,0.62,0.55,0.15,0.29,0.12,0.12,0.12,0.11,0.06,0.13,0.11,0.11
a_0,0.58,0.66,0.65,0.57,0.61,1.6,0.19,0.16,0.1,0.14,0.13,0.06,0.09,0.14,0.09,0.04
