,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.96,0.73,0.64,0.49,0.52,0.43,0.42,0.33,0.58,0.33,0.41,0.35,0.35,0.31,0.29,0.26
f_1,0.57,0.96,0.88,0.6,0.48,0.39,0.4,0.46,0.37,0.36,0.34,0.3,0.33,0.26,0.2,0.3
e_1,0.55,0.59,0.96,0.74,0.59,0.42,0.43,0.65,0.39,0.38,0.35,0.34,0.4,0.3,0.24,0.32
c_1,0.73,0.62,0.53,0.96,0.84,0.42,0.42,0.35,0.33,0.34,0.28,0.34,0.36,0.27,0.29,0.29
b_1,0.69,0.71,0.57,0.58,0.95,0.78,0.47,0.43,0.4,0.36,0.34,0.36,0.39,0.24,0.3,0.31
a_1,0.78,0.83,0.74,0.73,0.47,0.94,0.5,0.42,0.44,0.43,0.47,0.4,0.46,0.28,0.3,0.35
h_1,0.95,1.16,0.91,0.87,0.76,0.63,0.81,0.52,0.56,0.61,0.51,0.53,0.46,0.34,0.39,0.51
d_0,0.86,0.9,0.77,1.41,0.99,0.73,0.7,0.74,0.49,0.58,0.55,0.54,0.58,0.43,0.42,0.52
c_0,0.95,1.08,0.96,0.91,0.71,0.61,0.72,0.68,0.76,0.61,0.86,0.57,0.61,0.57,0.43,0.47
g_1,1.33,0.93,0.82,0.93,0.87,0.6,0.6,0.53,0.62,0.8,0.59,0.73,0.53,0.37,0.46,0.41
b_0,1.1,1.13,0.93,1.07,0.8,0.55,0.75,0.64,0.6,0.63,0.76,0.56,0.68,0.71,0.48,0.48
f_0,1.21,1.02,0.9,1.04,0.99,0.67,0.67,0.58,0.71,0.58,0.63,0.75,0.64,0.46,0.8,0.47
h_0,1.21,1.31,0.97,1.02,0.93,0.7,0.66,0.66,0.67,0.8,0.62,0.61,0.6,0.5,0.47,0.64
a_0,1.13,1.25,1.12,1.19,1.08,0.55,0.87,0.69,0.69,0.78,0.64,0.62,0.69,0.71,0.49,0.56
e_0,1.18,1.33,1.06,1.1,1.08,0.76,0.73,0.73,0.75,0.65,0.66,0.58,0.72,0.53,0.69,0.62
g_0,1.63,1.09,0.98,1.08,1.06,0.82,0.71,0.59,0.8,0.63,0.66,0.81,0.61,0.52,0.55,0.5
