,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.86,1.17,1.76,2.53,4.18,17.94,44.15,39.83,36.05,51.27,52.1,92.05,98.35,118.51,129.12
f_1,1.18,1.0,1.16,1.48,2.42,3.51,15.54,29.62,40.66,39.07,42.39,41.08,75.89,75.74,98.17,85.25
d_1,0.85,0.86,1.0,0.99,1.75,2.94,13.52,23.97,20.61,42.18,40.11,36.42,63.02,72.42,71.75,89.81
c_1,0.57,0.68,1.0,1.0,2.32,2.66,12.98,14.17,24.21,22.13,26.03,29.07,46.88,56.07,60.59,75.12
b_1,0.38,0.42,0.57,0.44,1.0,2.6,7.65,11.26,15.3,18.12,19.97,21.95,29.2,42.56,44.57,46.21
a_1,0.25,0.28,0.34,0.38,0.39,1.0,5.19,7.92,9.28,10.46,14.95,12.93,21.16,22.66,34.16,29.66
h_1,0.05,0.07,0.07,0.08,0.13,0.19,1.0,1.61,2.17,2.1,2.42,2.52,4.39,4.72,6.51,6.65
d_0,0.02,0.03,0.04,0.07,0.09,0.13,0.62,1.0,1.26,0.95,1.48,1.55,2.6,2.73,3.45,3.89
g_1,0.03,0.02,0.05,0.04,0.07,0.1,0.46,0.79,1.0,1.17,1.39,1.78,2.3,2.0,3.3,3.63
c_0,0.03,0.02,0.02,0.04,0.06,0.09,0.47,1.05,0.88,1.0,1.67,1.3,2.33,2.53,3.11,2.79
b_0,0.02,0.02,0.03,0.04,0.05,0.06,0.39,0.72,0.72,0.58,1.0,1.01,2.45,1.94,2.12,2.48
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.38,0.64,0.56,0.79,1.02,1.0,1.75,2.0,2.0,3.67
a_0,0.01,0.01,0.02,0.02,0.04,0.05,0.23,0.4,0.41,0.41,0.42,0.54,1.0,1.09,1.17,1.59
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.21,0.37,0.51,0.4,0.52,0.49,0.91,1.0,1.37,1.19
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.29,0.3,0.33,0.45,0.51,0.88,0.71,1.0,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.26,0.28,0.34,0.39,0.29,0.66,0.84,0.85,1.0
