,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.7,0.97,1.06,0.95,0.89,0.42,0.4,0.46,0.35,0.33,0.4,0.31,0.35,0.4,0.31
f_1,0.98,0.65,0.89,1.0,0.95,0.82,0.32,0.36,0.43,0.31,0.32,0.37,0.23,0.29,0.25,0.31
d_1,1.12,1.1,0.63,0.95,0.92,0.78,0.41,0.43,0.32,0.4,0.37,0.33,0.28,0.33,0.32,0.22
c_1,0.85,0.99,1.17,0.63,1.02,0.91,0.49,0.25,0.44,0.43,0.31,0.36,0.3,0.34,0.32,0.27
b_1,1.1,1.12,1.03,0.74,0.62,1.1,0.55,0.42,0.42,0.48,0.48,0.38,0.31,0.35,0.33,0.31
a_1,1.22,1.24,1.19,1.25,0.77,0.57,0.6,0.52,0.59,0.47,0.56,0.48,0.39,0.46,0.44,0.35
h_1,1.56,1.85,1.46,1.58,1.52,1.3,0.53,0.54,0.63,0.51,0.52,0.48,0.5,0.48,0.47,0.43
d_0,1.25,1.68,1.98,2.04,1.74,1.43,0.84,0.55,0.82,0.58,0.6,0.63,0.56,0.57,0.58,0.57
g_1,1.64,1.65,1.7,1.74,1.87,1.37,0.7,0.65,0.52,0.62,0.63,0.65,0.42,0.56,0.57,0.56
c_0,1.91,1.89,1.3,2.16,1.66,1.52,0.93,0.84,0.73,0.53,0.78,0.64,0.51,0.63,0.68,0.5
b_0,1.75,1.93,1.63,2.15,1.93,1.48,0.82,0.69,0.85,0.45,0.53,0.6,0.52,0.72,0.6,0.47
f_0,1.82,2.12,1.82,1.8,1.73,1.49,0.95,0.73,0.6,0.61,0.67,0.53,0.54,0.64,0.79,0.42
h_0,2.05,2.23,1.91,1.84,1.93,1.56,0.93,0.71,0.91,0.74,0.68,0.69,0.65,0.58,0.57,0.58
a_0,2.07,2.23,1.95,2.2,2.16,2.07,0.96,0.92,0.91,0.67,0.47,0.78,0.61,0.51,0.67,0.64
e_0,2.18,2.92,1.94,2.02,1.91,1.82,0.99,0.84,0.79,0.72,0.74,0.47,0.69,0.67,0.53,0.57
g_0,2.04,2.16,2.25,2.23,2.0,1.79,0.88,0.73,0.92,0.77,0.8,0.8,0.54,0.69,0.67,0.62
