,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,2.05,4.13,3.14,4.46,3.22,2.24,1.59,2.09,2.16,1.81,1.79,1.12,1.52,,1.73
f_1,4.66,0.42,3.88,3.73,3.56,4.25,1.28,2.04,1.76,1.41,1.65,,0.91,1.78,1.53,1.3
d_1,3.69,3.2,0.41,3.89,3.12,3.58,1.94,2.5,1.58,,1.59,1.69,1.3,1.39,1.94,0.86
c_1,4.15,3.62,2.89,0.37,4.21,3.44,1.97,,1.99,0.94,1.85,1.62,1.34,1.83,1.69,1.39
b_1,3.42,4.37,4.16,2.15,0.35,4.18,2.22,1.55,1.44,1.66,,1.62,1.37,1.64,1.74,1.55
a_1,3.58,3.15,3.58,3.82,2.48,0.31,2.08,1.75,1.7,1.55,1.77,1.44,1.87,,,1.56
h_1,1.76,2.25,1.69,1.84,1.44,1.78,0.26,0.7,1.06,1.04,0.79,0.89,,0.77,0.6,0.85
c_0,1.59,1.37,0.96,,2.12,1.53,0.88,0.29,0.84,0.63,0.79,0.78,0.88,0.77,0.7,0.64
g_1,2.29,2.93,2.09,1.53,2.35,1.8,0.7,0.84,0.23,0.82,0.74,0.76,0.57,,0.76,
d_0,0.9,1.83,,2.62,1.59,2.27,0.71,1.05,0.9,0.29,0.76,0.56,0.61,0.57,0.8,0.6
b_0,1.75,1.7,1.82,1.77,,1.68,0.87,0.46,0.76,0.58,0.28,0.86,0.56,1.01,0.8,0.63
f_0,1.86,,1.69,1.37,1.39,1.58,0.79,0.65,0.73,0.88,0.7,0.26,0.54,0.84,0.89,0.52
h_0,1.35,1.55,1.3,1.39,1.12,1.28,,0.5,0.84,0.53,0.69,0.6,,0.42,0.49,0.46
a_0,1.86,1.56,1.68,1.97,2.05,,0.93,0.66,,0.97,0.4,0.84,0.91,0.23,0.75,0.47
e_0,,1.85,1.5,1.81,1.62,,1.02,0.7,0.92,0.85,0.75,0.46,0.71,0.7,0.21,0.59
g_0,1.15,1.56,1.78,1.2,1.39,1.36,0.68,0.53,,0.51,0.55,0.63,0.41,0.75,0.55,
