,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10.7,0.71,0.61,1.02,0.67,0.65,0.95,2.33,0.85,0.75,1.03,1.12,1.0,0.74,0.96,0.87
f_1,2.12,11.47,0.61,0.65,0.47,0.5,0.87,1.06,0.87,1.01,0.66,1.0,1.01,0.62,1.02,0.93
d_1,0.61,0.87,14.23,0.44,0.65,0.61,0.97,0.53,0.92,3.04,0.88,1.32,0.98,1.13,1.09,1.11
c_1,0.54,0.62,0.63,12.56,1.95,0.8,0.97,0.79,0.73,0.47,1.0,0.57,0.9,0.88,0.68,0.98
b_1,0.58,0.68,0.78,0.7,11.86,2.11,0.84,0.75,0.96,0.77,0.85,0.6,0.99,0.96,0.66,0.91
a_1,0.7,0.82,0.71,0.82,0.68,16.64,0.92,1.06,0.9,0.77,1.09,0.88,1.19,1.17,0.71,0.88
h_1,0.69,1.35,0.97,0.77,0.69,0.57,2.93,0.76,1.75,0.96,1.11,1.04,0.75,1.08,1.19,1.48
d_0,0.63,0.64,0.56,2.28,0.96,0.7,1.13,1.93,1.0,0.58,1.02,0.98,1.03,1.09,1.2,1.08
g_1,0.65,0.61,1.73,0.77,0.75,0.79,0.89,0.62,3.61,1.11,2.08,0.91,0.9,1.37,1.03,0.79
c_0,0.83,0.9,0.98,0.58,0.47,0.74,1.2,1.21,1.17,2.34,1.34,3.85,1.19,1.14,2.11,1.35
f_0,0.54,0.54,0.95,1.03,0.93,0.89,1.21,0.99,1.49,1.13,2.34,1.24,1.15,3.14,1.19,1.18
b_0,0.8,0.9,0.84,0.96,0.52,0.4,1.36,1.19,1.28,0.94,1.13,2.68,1.19,1.28,3.58,1.23
h_0,0.59,1.17,1.0,0.73,0.78,0.84,0.8,1.05,1.68,0.99,1.12,1.0,0.85,1.13,0.98,1.38
e_0,0.46,0.89,0.97,0.92,0.72,0.73,1.35,0.95,1.64,1.17,1.07,1.18,1.58,3.28,1.66,1.33
a_0,0.86,0.77,1.03,0.8,0.75,0.58,1.39,1.08,1.37,1.21,1.12,1.16,0.94,0.99,2.77,1.12
g_0,0.52,0.66,1.87,0.61,0.79,0.77,1.02,0.71,1.0,1.31,2.05,1.06,0.98,1.31,1.22,0.99
