,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.03,1.08,1.24,1.1,1.0,0.25,0.36,0.21,0.23,0.22,0.29,0.13,0.2,0.23,0.18
d_1,1.2,0.42,1.39,1.19,1.06,1.01,0.31,0.22,0.24,0.44,0.26,0.22,0.16,0.24,0.21,0.1
e_1,0.71,1.29,0.42,1.33,1.34,1.2,0.4,0.39,0.27,0.26,0.23,0.33,0.18,0.23,0.41,0.25
c_1,1.31,1.48,1.07,0.4,1.16,1.1,0.34,0.35,0.41,0.15,0.27,0.23,0.19,0.25,0.22,0.21
b_1,1.46,1.44,1.33,0.71,0.38,1.41,0.46,0.42,0.37,0.27,0.37,0.31,0.2,0.3,0.3,0.19
a_1,1.76,1.74,1.64,1.51,0.82,0.32,0.55,0.56,0.32,0.38,0.44,0.36,0.24,0.57,0.36,0.24
h_1,2.6,2.01,1.96,2.37,2.06,1.97,0.3,0.58,0.4,0.46,0.4,0.36,0.42,0.37,0.38,0.28
g_1,2.62,2.23,2.31,2.41,2.62,2.06,0.48,0.28,0.49,0.54,0.41,0.43,0.28,0.54,0.45,0.4
c_0,2.52,1.38,2.58,4.54,2.67,2.5,0.78,0.7,0.32,0.95,0.52,0.52,0.41,0.52,0.49,0.32
d_0,2.37,4.29,1.38,2.51,2.49,2.7,0.81,1.02,0.6,0.33,0.47,0.58,0.41,0.51,0.56,0.52
b_0,2.69,2.09,2.43,3.46,4.06,2.33,0.89,0.77,0.3,0.65,0.32,0.5,0.4,0.57,0.54,0.37
f_0,4.4,2.51,2.76,2.55,2.54,2.72,0.69,0.53,0.57,0.61,0.58,0.29,0.46,0.58,0.53,0.24
h_0,2.93,2.85,2.75,2.85,2.62,2.2,0.96,0.86,0.6,0.68,0.59,0.52,0.56,0.5,0.54,0.42
a_0,3.26,2.78,2.72,3.09,3.54,4.39,0.92,0.78,0.53,0.62,0.34,0.58,0.48,0.3,0.67,0.4
e_0,4.07,2.86,3.87,3.22,3.07,2.66,0.84,0.79,0.62,0.65,0.62,0.34,0.52,0.64,0.27,0.34
g_0,3.88,3.22,3.12,3.05,2.95,3.08,0.7,1.12,0.63,0.77,0.67,0.56,0.37,0.64,0.6,0.57
