,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,1.0,1.5,1.32,1.59,2.77,19.78,30.13,41.58,31.89,33.94,55.31,79.2,82.09,92.0,115.67
f_1,1.0,1.0,1.08,1.13,1.28,2.06,12.53,23.75,25.6,26.32,28.16,33.66,57.06,57.85,61.68,99.47
c_1,0.65,0.92,1.0,1.07,1.67,2.22,15.93,21.95,18.36,20.93,23.04,38.47,58.72,60.53,72.9,86.04
d_1,0.75,0.91,0.92,1.0,1.24,1.95,14.88,18.4,25.4,26.03,33.07,34.74,58.42,58.14,71.5,67.72
b_1,0.61,0.78,0.62,0.8,1.0,2.32,12.24,18.05,16.37,19.17,23.16,25.5,38.42,51.96,57.54,69.92
a_1,0.36,0.47,0.46,0.51,0.44,1.0,8.67,12.22,11.09,13.73,12.42,17.13,32.05,32.67,42.7,41.09
h_1,0.05,0.08,0.06,0.07,0.08,0.11,1.0,1.62,1.49,1.58,1.79,2.16,4.04,4.32,5.15,6.75
g_1,0.03,0.04,0.04,0.05,0.06,0.08,0.62,1.0,0.94,1.1,1.21,1.93,2.66,2.41,3.72,3.8
d_0,0.03,0.04,0.05,0.04,0.06,0.09,0.64,1.03,1.0,1.07,0.95,1.52,2.52,2.78,3.33,3.57
b_0,0.03,0.04,0.05,0.04,0.05,0.08,0.62,0.88,0.97,1.0,0.91,1.51,3.46,2.55,3.06,3.43
c_0,0.03,0.04,0.04,0.03,0.04,0.08,0.57,0.79,1.12,1.12,1.0,1.32,2.59,2.52,2.95,3.3
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.44,0.52,0.64,0.66,0.74,1.0,1.85,1.83,2.82,1.98
a_0,0.01,0.02,0.02,0.02,0.03,0.03,0.24,0.36,0.42,0.29,0.38,0.55,1.0,1.13,1.1,1.51
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.23,0.41,0.35,0.37,0.39,0.54,0.88,1.0,1.03,1.54
e_0,0.01,0.02,0.01,0.01,0.02,0.02,0.19,0.25,0.31,0.35,0.35,0.36,0.96,0.97,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.26,0.28,0.29,0.31,0.48,0.69,0.64,0.88,1.0
