,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.73,1.02,1.01,0.76,0.64,0.5,0.6,0.49,0.42,0.51,0.42,0.33,0.32,0.36,0.24
f_1,1.37,1.0,0.95,0.94,0.71,0.72,0.44,0.46,0.4,0.45,0.32,0.34,0.29,0.29,0.33,0.25
d_1,0.98,1.05,1.0,0.89,0.94,0.61,0.45,0.55,0.55,0.38,0.41,0.37,0.38,0.34,0.29,0.27
c_1,0.99,1.06,1.13,1.0,1.06,0.92,0.52,0.36,0.32,0.42,0.36,0.44,0.35,0.37,0.36,0.38
b_1,1.31,1.4,1.07,0.94,1.0,0.93,0.58,0.48,0.49,0.49,0.44,0.46,0.4,0.38,0.32,0.33
a_1,1.57,1.38,1.65,1.09,1.07,1.0,0.85,0.64,0.63,0.61,0.76,0.48,0.55,,0.44,0.41
h_1,2.03,2.31,2.2,1.85,1.67,1.11,1.0,0.75,0.85,1.09,0.78,0.72,0.71,0.6,0.78,0.53
d_0,1.61,2.28,1.95,2.97,2.07,1.54,1.36,1.0,1.01,1.01,1.07,0.83,0.97,0.7,0.78,0.74
c_0,2.13,2.48,1.8,3.19,1.98,1.51,1.19,0.97,1.0,1.08,1.27,0.87,0.84,0.83,0.82,0.89
g_1,2.3,2.21,2.54,2.44,2.14,1.54,0.92,0.93,0.98,1.0,0.86,0.88,0.73,0.75,0.78,0.7
b_0,2.01,3.1,2.27,2.77,2.07,1.42,1.31,0.99,0.77,1.19,1.0,0.91,0.92,0.97,0.69,0.75
f_0,2.25,2.9,2.86,2.36,2.16,2.07,1.37,1.18,1.16,1.14,1.1,1.0,1.11,0.83,0.69,1.68
h_0,2.88,3.35,2.65,2.85,2.57,1.83,1.38,1.09,1.18,1.42,1.05,0.88,1.0,0.89,1.1,0.91
a_0,2.98,3.5,3.31,2.58,2.57,,1.66,1.38,1.23,1.24,1.08,1.33,1.15,1.0,1.18,1.06
g_0,2.62,3.14,3.49,2.63,2.98,2.13,1.27,1.26,1.21,1.34,1.45,1.38,0.91,0.76,,1.07
e_0,3.62,4.19,3.6,2.78,3.1,2.55,1.97,1.41,1.05,1.4,1.28,0.67,1.1,0.87,0.9,1.0
