,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.44,2.36,4.84,5.75,4.43,4.31,1.16,1.82,0.89,0.9,1.04,0.81,0.53,4.93,0.93,1.1
f_1,4.79,0.43,3.63,4.18,3.93,4.55,0.88,1.65,0.93,0.84,4.33,0.88,0.5,0.91,0.59,0.78
d_1,4.87,4.75,0.42,4.87,4.04,4.5,1.25,0.75,5.62,0.81,0.83,1.01,0.69,0.94,0.43,0.87
c_1,4.38,5.1,5.79,0.42,4.49,4.97,1.29,1.11,0.47,3.16,0.78,0.92,0.57,0.79,0.66,0.79
b_1,3.91,5.08,5.15,2.82,0.4,5.0,1.61,1.47,0.92,1.2,0.81,3.78,0.96,1.0,0.84,1.72
a_1,6.82,7.73,6.84,5.12,3.29,0.33,1.47,2.22,1.3,1.33,1.17,1.16,1.0,1.38,0.66,2.33
h_1,5.45,4.57,4.89,5.92,6.51,4.3,0.35,1.25,1.08,0.94,1.1,1.13,1.91,0.72,0.66,0.77
g_1,6.13,6.65,5.38,5.99,5.37,4.86,1.37,0.32,1.11,0.87,1.14,1.03,0.54,0.92,1.77,0.94
d_0,3.05,7.6,14.24,4.91,5.77,5.85,1.85,1.76,0.46,1.18,1.27,1.13,0.95,1.12,1.05,1.09
c_0,5.28,5.68,3.02,27.94,6.9,5.28,1.77,2.04,1.49,0.45,1.38,1.39,0.94,1.19,0.9,1.13
f_0,5.22,15.69,5.42,5.53,8.96,5.0,1.71,1.08,0.94,0.85,0.4,0.92,0.89,1.29,0.54,1.23
b_0,5.88,5.16,4.61,7.97,20.46,6.34,1.85,1.64,1.6,0.55,1.25,0.4,0.87,1.22,1.33,1.01
h_0,6.23,5.99,7.52,6.61,6.21,8.39,7.69,1.8,1.36,1.36,1.7,1.28,1.89,1.29,1.3,1.12
e_0,19.36,8.34,5.87,6.92,7.01,8.0,2.44,1.86,1.75,1.32,0.68,1.29,1.18,0.33,0.98,1.18
g_0,7.3,9.99,5.53,7.42,9.89,6.69,1.55,4.12,1.66,1.42,1.47,1.56,0.75,1.58,1.93,1.27
a_0,7.55,7.35,6.59,7.15,10.16,13.01,2.42,2.11,1.77,1.34,1.63,0.78,1.27,1.44,1.2,0.36
