,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,9260.65,137.93,211.99,169.63,350.9,1995.13,200714.24,401007.71,1052214.18,,943480.93,2047461.02,4180649.06,8604794.73,4714266.24,17915909.98
f_1,125.31,10441.58,439.99,201.55,531.32,1135.32,168208.64,397054.16,696402.58,1050129.41,1028740.09,,3282997.74,6563432.0,6438328.5,10602785.98
e_1,87.89,128.45,18146.62,295.01,418.95,1690.93,172237.41,321172.83,537126.81,1668314.9,975028.93,1691899.36,3667231.55,8378970.97,,13665818.57
c_1,118.48,187.02,225.69,22064.78,943.97,1934.31,157404.96,508951.44,,921687.8,470770.99,1759468.09,3316250.73,8060078.76,6357211.69,10421829.01
b_1,147.29,157.08,218.56,237.34,49652.59,3618.67,172330.78,486271.05,588894.83,1020078.49,,1273229.58,2144809.57,5891746.99,7035847.62,11141148.15
a_1,103.69,92.3,192.62,299.36,702.38,240259.71,210010.1,282050.97,621046.66,786658.0,1050866.1,1963763.07,,5619091.21,10851725.38,15274246.54
h_1,485.47,884.18,732.25,682.81,1335.04,5172.91,8562286.86,2573304.18,2620592.53,2791097.63,5193295.34,4976799.19,11584653.27,,17876116.64,66193742.32
g_1,709.96,365.43,423.69,1030.65,1407.01,6413.81,791887.8,25089715.72,1931975.65,2842667.25,5943771.55,8947450.68,9071766.82,31781969.67,30689055.73,
c_0,833.9,650.9,1289.24,,1719.92,7913.73,694239.47,2109645.77,20986434.95,4494672.99,9092165.72,8335017.74,18851839.75,29926828.42,35430141.08,56103041.44
d_0,,696.94,1212.1,2948.5,2854.46,10257.45,1046195.82,1613486.54,2344800.62,26400680.97,5510570.62,10984163.87,21026469.17,35358718.66,34142807.98,31237307.58
b_0,727.79,676.96,998.95,1692.33,,7088.51,1137748.51,2308082.88,3416338.55,4225364.52,38927597.11,9093044.52,24062591.02,26929398.91,,48376687.32
f_0,556.7,,727.73,1081.81,2321.89,8032.74,1090947.75,2131172.76,4457988.05,4127760.91,5072987.34,70893447.61,15148799.8,22555688.41,93383728.99,83673678.95
a_0,517.98,750.87,967.31,1705.96,2909.96,,830522.05,1854205.32,2806901.43,3357881.07,5541114.2,8875483.45,181225826.67,41268850.91,,48323765.21
h_0,1120.13,1585.97,1736.68,1615.28,3212.9,10825.26,,3304499.14,5335851.16,6675294.13,6409286.45,11977092.1,34450587.64,,37409044.08,120295867.78
e_0,638.5,458.11,,1315.12,4202.12,8291.76,837615.02,1772642.96,3137551.37,4648217.72,,10443163.95,,41087695.84,384725118.92,69043329.91
g_0,1460.56,891.97,1312.62,1741.66,3100.27,9483.67,1366062.86,,4328305.98,6822683.11,6835619.51,20073090.07,25337194.87,58742315.73,60503779.39,
