,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.6,0.54,0.68,0.69,0.61,0.14,0.16,0.21,0.13,0.13,0.27,0.07,0.14,0.11,0.15
e_1,0.39,0.17,0.69,0.73,0.71,0.62,0.19,0.17,0.19,0.13,0.13,0.18,0.1,0.12,0.12,0.29
d_1,0.65,0.72,0.16,0.66,0.72,0.62,0.16,0.35,0.11,0.14,0.11,0.12,0.08,0.11,0.06,0.13
c_1,0.67,0.57,0.9,0.15,0.59,0.57,0.17,0.07,0.22,0.22,0.13,0.12,0.1,0.13,0.08,0.11
b_1,0.74,0.71,0.68,0.35,0.14,0.81,0.22,0.13,0.2,0.18,0.28,0.13,0.1,0.14,0.12,0.12
a_1,0.91,0.66,0.71,0.72,0.3,0.09,0.27,0.13,0.29,0.13,0.19,0.14,0.12,0.25,0.1,0.13
h_1,0.56,0.53,0.52,0.56,0.46,0.36,0.06,0.11,0.16,0.13,0.11,0.1,0.13,0.1,0.07,0.1
d_0,0.54,0.27,0.93,0.61,0.51,0.49,0.19,0.06,0.18,0.12,0.13,0.1,0.08,0.12,0.08,0.11
g_1,0.55,0.51,0.46,0.56,0.54,0.46,0.12,0.13,0.05,0.11,0.11,0.1,0.06,0.11,0.12,0.1
c_0,0.53,0.54,0.28,1.03,0.6,0.61,0.2,0.14,0.13,0.06,0.11,0.1,0.08,0.11,0.08,0.12
b_0,0.51,0.49,0.43,0.78,0.92,0.48,0.15,0.12,0.16,0.06,0.06,0.09,0.08,0.1,0.07,0.09
f_0,1.06,0.43,0.49,0.47,0.53,0.61,0.17,0.1,0.08,0.09,0.11,0.05,0.08,0.11,0.05,0.09
h_0,0.5,0.44,0.49,0.54,0.64,0.44,0.22,0.13,0.12,0.09,0.09,0.1,0.13,0.09,0.08,0.07
a_0,0.5,0.54,0.42,0.52,0.77,0.69,0.19,0.15,0.13,0.1,0.06,0.11,0.08,0.04,0.08,0.11
g_0,0.53,0.46,0.49,0.5,0.54,0.59,0.11,0.11,0.22,0.1,0.1,0.11,0.06,0.08,0.1,0.08
e_0,0.71,0.68,0.43,0.6,0.48,0.55,0.15,0.09,0.16,0.1,0.1,0.04,0.07,0.12,0.06,0.04
