,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.53,0.69,0.29,0.28,0.38,0.35,0.71,0.64,0.59,0.81,0.79,0.1,0.82,0.74,0.62,0.94
e_1,0.37,23.95,0.34,0.29,0.28,0.34,0.78,1.8,0.79,1.02,0.7,0.9,0.75,0.73,0.33,0.88
c_1,0.33,0.36,27.13,0.35,0.66,0.35,0.63,0.69,0.56,0.14,0.8,0.89,0.79,0.72,0.73,0.84
d_1,0.36,0.3,0.3,30.07,0.32,0.35,0.7,0.26,0.81,1.46,0.9,0.63,1.02,0.92,0.59,1.08
b_1,0.4,0.31,0.32,0.36,31.42,0.72,0.82,0.62,0.65,0.52,0.1,0.95,0.91,0.56,0.58,1.1
a_1,0.35,0.27,0.35,0.35,0.38,47.27,0.8,0.79,0.8,0.81,0.71,1.05,0.79,0.17,0.98,0.57
h_1,0.99,0.54,0.65,0.67,0.47,0.49,9.28,1.28,1.79,1.51,1.75,1.34,0.55,1.41,1.65,1.39
d_0,0.57,0.48,1.65,0.25,0.57,0.58,1.33,5.23,1.46,1.64,1.8,1.53,2.0,1.41,1.93,1.23
g_1,0.46,0.49,0.71,1.12,0.69,0.53,1.13,1.11,12.42,1.07,1.73,3.01,1.58,1.88,1.78,0.61
c_0,0.67,0.59,0.38,0.87,0.55,0.53,1.52,1.74,1.54,6.1,4.09,1.26,1.84,1.79,1.89,1.47
b_0,0.73,0.68,0.82,0.67,0.21,0.52,1.59,1.6,1.02,1.37,6.54,1.6,2.21,3.45,2.1,1.66
f_0,0.16,0.64,0.81,0.67,0.75,0.48,1.54,1.61,1.45,1.27,1.73,7.62,2.19,2.33,5.2,1.32
h_0,0.95,0.61,0.61,0.66,0.55,0.69,0.54,1.19,1.76,1.12,1.96,1.63,0.5,1.49,1.9,2.06
a_0,0.67,0.66,0.88,0.79,0.6,,1.49,1.67,1.34,1.82,1.14,1.81,2.07,9.26,1.7,1.84
e_0,0.49,,0.9,1.21,0.74,0.62,1.46,1.55,1.88,2.08,1.38,1.75,2.24,1.76,9.71,0.96
g_0,0.56,0.57,0.76,1.14,0.56,0.67,1.23,1.16,0.69,1.23,1.36,2.54,1.48,1.17,2.01,0.48
