,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.09,1.2,0.48,0.6,0.49,0.42,0.79,0.77,0.68,0.75,0.89,0.33,0.83,0.82,0.72,0.72
e_1,0.55,16.86,0.51,0.56,0.55,0.48,1.09,0.76,1.97,0.94,1.01,1.13,1.16,0.92,0.44,0.98
d_1,0.49,0.46,20.26,0.42,0.53,0.57,0.78,0.99,0.33,2.09,1.14,1.07,1.1,1.08,1.19,1.17
c_1,0.62,0.53,0.43,19.25,1.22,0.36,0.63,0.74,0.74,0.2,0.5,0.88,0.89,0.88,0.85,0.76
b_1,0.48,0.4,0.52,0.53,23.0,1.5,1.18,0.73,1.0,0.82,0.31,0.9,0.66,0.66,0.83,0.88
a_1,0.64,0.46,0.51,0.66,0.37,35.36,0.95,0.8,0.89,0.84,0.92,0.88,0.78,0.39,1.06,0.83
h_1,1.14,0.54,0.77,0.47,0.58,0.62,5.27,1.91,1.24,1.13,1.21,1.09,0.64,0.92,1.12,1.67
g_1,0.59,0.51,1.41,0.65,0.55,0.6,0.94,6.37,0.8,1.16,1.36,1.84,1.2,1.04,1.14,0.72
d_0,0.72,0.58,0.27,2.06,0.76,0.63,1.03,1.09,3.13,0.85,1.16,1.08,1.3,1.19,1.47,1.44
c_0,0.67,0.5,0.94,0.39,0.48,0.51,1.26,1.57,1.18,3.85,4.0,1.29,1.95,1.59,1.36,1.57
b_0,0.8,0.68,0.89,0.68,0.21,0.44,1.19,1.4,1.22,1.24,4.19,1.21,1.5,3.21,1.33,1.25
f_0,0.37,0.46,1.06,0.83,0.53,0.72,1.1,1.09,1.58,1.2,1.41,4.46,1.53,1.42,2.93,1.64
h_0,1.07,0.63,0.92,0.76,0.57,0.55,0.54,1.55,1.26,1.12,1.3,0.95,0.62,1.45,1.07,1.72
a_0,0.73,0.66,0.91,0.72,0.62,0.32,1.24,1.4,1.17,0.94,1.4,1.52,1.72,4.58,1.76,1.63
e_0,0.89,0.3,0.69,0.81,0.62,0.7,1.03,1.23,1.31,1.61,1.56,1.22,1.87,1.63,5.8,1.64
g_0,0.55,0.55,1.66,0.78,0.6,0.69,0.9,0.7,1.1,1.2,1.18,2.8,1.17,1.43,1.5,0.7
