,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.28,0.64,0.52,0.69,0.54,0.4,1.14,0.91,2.09,0.91,1.08,1.09,1.4,1.12,0.85,0.66
f_1,1.08,2.31,0.49,0.55,0.42,0.38,1.03,0.87,1.27,1.14,1.12,0.51,1.2,1.1,0.78,0.7
d_1,0.53,0.65,2.42,0.4,0.56,0.42,1.08,1.05,0.66,2.2,1.3,1.25,1.66,1.34,0.96,0.9
c_1,0.57,0.56,0.59,2.43,0.95,0.44,0.98,0.89,1.09,0.56,0.7,0.94,1.46,1.31,1.01,0.82
b_1,0.55,0.59,0.58,0.58,2.54,0.81,0.85,0.74,1.18,1.21,0.61,1.11,1.58,1.33,0.77,1.0
a_1,0.57,0.63,0.52,0.65,0.57,3.07,1.17,1.08,1.13,0.82,1.18,1.1,1.55,1.27,0.53,0.92
h_1,0.65,0.92,0.74,0.7,0.59,0.43,3.05,1.53,1.2,1.31,1.4,1.62,1.19,2.21,1.23,1.26
g_1,0.66,0.65,1.09,0.69,0.52,0.44,1.31,3.32,1.01,1.45,1.32,2.28,1.64,1.13,1.26,1.23
d_0,0.69,0.8,0.4,1.34,0.66,0.46,1.24,1.11,2.62,0.98,1.39,1.51,1.82,1.57,1.15,1.2
c_0,0.81,0.69,0.8,0.51,0.48,0.55,1.52,1.27,1.62,2.82,2.88,1.56,1.7,2.04,1.51,1.08
b_0,0.67,0.85,0.81,0.78,0.47,0.46,1.45,1.18,1.47,1.27,2.93,1.32,1.91,1.97,2.59,1.18
f_0,0.54,0.49,0.81,0.78,0.66,0.63,1.21,1.27,1.5,1.65,1.46,2.98,2.0,2.14,1.44,2.67
h_0,0.7,1.17,0.68,0.69,0.57,0.49,0.96,1.49,1.39,1.33,1.26,1.16,1.32,2.14,1.2,1.05
g_0,0.61,0.65,1.18,0.73,0.63,0.5,1.26,0.74,1.27,1.16,1.34,2.03,1.82,1.09,0.91,0.93
a_0,0.73,0.84,0.65,0.79,0.64,0.34,1.42,1.07,1.54,1.71,1.55,1.46,2.2,1.7,3.23,1.01
e_0,0.33,0.73,0.79,0.85,0.67,0.57,1.66,1.23,1.5,1.51,1.52,1.63,1.88,1.96,1.26,3.18
