,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.88,0.1,0.08,0.08,0.06,0.07,0.07,0.06,0.14,0.07,0.07,0.05,0.05,0.06,0.01,0.08
f_1,0.17,0.87,0.09,0.07,0.07,0.04,0.06,0.06,0.08,0.08,0.08,0.01,0.04,0.08,0.04,0.04
c_1,0.08,0.08,0.88,0.08,0.12,0.05,0.08,0.06,0.08,0.06,0.01,0.08,0.05,0.08,0.04,0.06
d_1,0.08,0.08,0.07,0.88,0.08,0.05,0.09,0.07,0.03,0.1,0.15,0.07,0.04,0.06,0.06,0.05
b_1,0.09,0.09,0.08,0.07,0.87,0.11,0.08,0.05,0.07,0.02,0.08,0.05,0.04,0.09,0.04,0.07
a_1,0.09,0.09,0.08,0.08,0.06,0.87,0.11,0.06,0.08,0.07,0.06,0.06,0.02,0.08,0.04,0.06
h_1,0.14,0.2,0.1,0.16,0.13,0.07,0.53,0.15,0.11,0.13,0.11,0.1,0.09,0.05,0.12,0.13
g_1,0.14,0.13,0.14,0.23,0.11,0.08,0.12,0.53,0.1,0.13,0.11,0.19,0.05,0.12,0.08,0.04
d_0,0.16,0.15,0.28,0.04,0.14,0.08,0.1,0.1,0.38,0.16,0.1,0.11,0.09,0.15,0.1,0.1
b_0,0.19,0.14,0.15,0.18,0.04,0.07,0.15,0.11,0.11,0.39,0.17,0.15,0.23,0.15,0.1,0.13
c_0,0.19,0.16,0.06,0.16,0.09,0.1,0.16,0.11,0.15,0.3,0.37,0.12,0.13,0.16,0.11,0.11
f_0,0.14,0.05,0.17,0.15,0.17,0.07,0.14,0.12,0.15,0.15,0.12,0.4,0.11,0.14,0.2,0.12
a_0,0.15,0.15,0.17,0.18,0.15,0.03,0.12,0.09,0.16,0.14,0.13,0.11,0.36,0.18,0.09,0.14
h_0,0.17,0.22,0.15,0.15,0.12,0.08,0.05,0.14,0.11,0.12,0.1,0.1,0.1,0.03,0.07,0.11
e_0,0.07,0.18,0.16,0.16,0.12,0.09,0.15,0.11,0.14,0.17,0.13,0.17,0.13,0.19,0.35,0.13
g_0,0.18,0.11,0.13,0.25,0.09,0.09,0.11,0.05,0.09,0.17,0.12,0.19,0.11,0.13,0.09,0.06
