,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,97.64,64.67,89.25,68.52,84.86,256.48,9561.81,14285.94,19209.5,18694.27,43619.19,28547.72,86147.94,106003.13,124126.25,173047.4
c_1,39.94,122.14,52.22,120.77,84.96,228.11,8076.71,13392.36,8151.4,15984.15,21157.25,35263.68,66014.89,100965.11,116898.14,164710.6
e_1,41.24,68.65,129.26,71.49,59.35,219.63,11256.05,23248.99,17006.27,14812.39,36117.01,43178.27,75285.23,106574.71,63595.16,172938.4
b_1,42.51,43.21,52.42,152.38,73.09,363.53,9117.72,11670.93,15863.19,16348.01,21655.55,40150.5,63155.5,83510.0,139989.63,138479.89
d_1,38.46,34.19,59.53,63.01,163.22,233.87,7968.93,9812.51,25737.18,13084.15,36769.61,50378.87,89519.88,100975.99,123799.18,132388.77
a_1,28.15,34.73,35.43,37.0,56.36,430.47,6495.63,7744.42,9685.0,9699.62,24101.21,28358.23,40491.45,55739.74,87513.0,103766.73
h_1,12.9,16.11,13.06,16.03,20.3,53.12,4084.87,3481.57,4054.53,5372.37,8628.66,10006.96,20142.08,20346.39,27293.76,45462.04
d_0,9.95,20.27,10.99,17.2,12.22,52.34,2071.33,4628.46,3004.52,3342.57,5944.47,9147.28,16927.88,23649.01,33513.46,34059.29
c_0,9.79,10.18,12.59,12.57,15.96,52.83,2150.17,3410.24,5558.95,3466.12,12427.05,10217.77,22250.13,24128.82,30996.75,35546.69
g_1,7.66,11.42,11.56,12.18,25.3,44.05,1501.52,2685.73,3814.61,6407.32,6887.5,11827.56,17873.95,20847.0,26383.2,26854.17
b_0,7.09,11.52,9.57,8.65,13.73,35.91,1470.39,3076.68,2673.56,2650.93,9156.01,6975.05,24766.87,18668.31,22704.68,32258.49
f_0,6.35,10.75,8.5,10.63,11.79,44.19,1659.64,2641.7,2934.81,2198.07,6114.93,11061.6,12730.5,17444.75,35298.87,22608.13
a_0,6.52,7.78,8.0,9.4,8.89,21.17,1281.88,2019.46,1994.5,2009.87,3711.53,6042.07,18653.63,16400.32,17708.95,18907.4
h_0,7.08,7.36,6.53,9.13,9.28,32.22,766.45,2079.24,2126.93,2500.18,4721.31,4809.45,10146.05,10055.55,18861.03,21155.71
e_0,5.63,5.44,5.21,7.76,9.43,24.77,1233.57,1457.21,1888.79,1815.09,3598.76,4478.43,9258.54,10872.5,25836.46,20102.52
g_0,3.95,5.88,5.58,7.47,12.47,27.56,1079.73,1607.14,1806.64,1168.5,3233.03,6964.6,8890.97,11794.76,17535.41,13547.64
