,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.36,1.19,1.32,1.41,1.22,0.52,0.58,0.51,0.84,0.53,1.08,0.35,0.6,0.58,0.47
e_1,0.87,0.42,1.19,1.32,1.3,1.3,0.85,0.76,0.55,0.66,0.72,0.74,0.6,0.57,1.23,0.74
d_1,1.43,1.45,0.39,1.15,1.61,0.99,0.74,1.07,0.72,0.43,0.48,0.54,0.49,0.58,0.55,0.37
c_1,1.25,1.36,1.55,0.39,1.4,1.24,0.57,0.37,0.89,0.69,0.51,0.61,0.52,0.57,0.62,0.51
b_1,1.3,1.22,1.18,0.84,0.37,1.8,0.82,0.65,0.71,0.75,1.65,0.58,0.5,0.57,0.53,0.63
a_1,1.67,1.17,1.68,1.4,0.79,0.31,0.64,0.6,0.55,0.89,0.59,0.63,0.44,,0.58,0.39
h_1,1.12,0.94,1.04,1.08,0.75,0.95,0.26,0.36,0.44,0.63,0.37,0.34,0.76,0.38,0.33,0.36
d_0,1.0,0.6,1.51,1.33,0.95,0.89,0.64,0.27,0.5,0.6,0.39,0.43,0.37,0.4,0.42,0.47
c_0,1.01,1.01,0.55,2.4,1.0,1.05,0.5,0.46,0.26,0.56,0.5,0.36,0.4,0.41,0.41,0.34
g_1,0.93,1.01,1.21,0.98,0.92,0.8,0.41,0.44,0.41,0.23,0.45,0.43,0.31,0.4,0.38,0.49
b_0,0.91,0.79,0.95,1.25,1.19,1.12,0.62,0.41,0.28,0.51,0.26,0.43,0.36,0.45,0.37,0.27
f_0,2.09,0.89,0.84,0.99,0.8,0.82,0.59,0.48,0.41,0.35,0.51,0.23,0.37,0.49,0.65,0.28
h_0,1.07,0.79,0.91,0.99,0.88,0.98,0.85,0.41,0.42,0.61,0.44,0.44,0.7,0.37,0.48,0.4
a_0,0.98,1.0,0.83,0.96,1.3,,0.45,0.41,0.41,0.69,0.27,0.39,0.48,0.21,0.35,0.37
e_0,1.02,1.24,1.0,0.91,1.13,0.8,0.54,0.44,0.39,0.49,0.47,0.21,0.36,0.41,0.2,0.34
g_0,1.1,0.8,0.96,1.02,0.79,1.06,0.42,0.48,0.42,,0.52,0.42,0.32,0.63,0.34,0.49
