,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.83,1.0,0.98,0.8,0.89,0.93,0.98,1.2,1.08,0.95,0.89,0.82,0.75,1.0
e_1,0.75,1.0,1.02,1.12,1.01,1.18,1.03,0.99,1.4,1.17,1.05,1.15,1.07,1.07,1.11,1.06
d_1,1.19,0.98,1.0,0.9,0.93,0.88,1.06,1.25,0.91,0.75,1.04,1.07,1.08,1.06,1.11,0.9
c_1,1.01,0.89,1.11,1.0,1.41,0.84,0.93,0.82,0.67,0.91,0.81,1.02,0.97,0.88,0.99,0.78
b_1,1.01,1.0,1.08,0.71,1.0,1.5,1.06,1.04,1.01,1.1,1.02,0.85,0.82,1.16,0.92,1.22
a_1,1.24,0.85,1.13,1.2,0.67,1.0,1.17,1.0,1.06,1.05,1.0,0.94,0.92,1.06,1.19,1.07
h_1,1.18,0.96,0.94,1.05,1.0,0.85,1.0,0.96,1.04,1.1,1.0,0.95,0.96,1.04,0.94,1.13
c_0,1.01,1.08,0.79,1.18,0.94,1.02,1.05,1.0,1.1,1.1,1.44,0.97,1.15,0.98,0.98,1.02
d_0,1.02,0.7,1.19,1.46,1.04,0.98,0.93,0.87,1.0,1.06,0.99,1.06,0.89,0.98,1.05,1.03
g_1,0.87,0.83,1.33,1.07,0.95,0.88,0.91,0.86,0.94,1.0,0.91,1.24,1.06,0.96,0.97,1.09
b_0,0.92,0.97,0.93,1.25,0.96,0.95,0.98,0.73,1.06,1.11,1.0,1.07,1.51,1.04,0.92,1.07
f_0,1.1,0.87,0.97,0.99,1.18,1.05,1.07,1.01,0.94,0.76,0.88,1.0,1.03,1.03,1.51,0.8
a_0,1.15,0.96,0.94,0.98,1.09,1.15,1.05,0.89,1.21,0.89,0.69,0.95,1.0,1.13,0.99,1.14
h_0,1.24,0.94,0.96,1.1,0.86,1.01,0.95,0.97,1.07,1.04,1.02,0.91,0.88,1.0,0.95,1.15
e_0,1.39,0.94,0.87,1.05,0.97,0.93,1.06,1.03,0.98,1.03,1.11,0.65,1.13,1.06,1.0,1.1
g_0,1.02,0.93,1.15,1.2,0.81,0.9,0.88,0.96,0.98,0.87,0.88,1.13,0.88,0.84,0.91,1.0
