,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.07,0.82,0.62,0.86,0.68,0.58,0.95,1.03,1.7,0.98,1.0,1.1,0.95,1.08,0.95,0.81
f_1,1.19,2.02,0.79,0.74,0.65,0.74,0.99,0.76,0.92,0.8,1.0,0.52,0.92,0.89,1.06,0.61
d_1,0.73,0.83,2.21,0.64,0.72,0.77,0.97,1.01,0.59,1.74,1.17,1.01,1.0,1.01,0.97,0.93
c_1,0.74,0.79,0.74,2.22,1.32,0.6,0.88,0.84,0.93,0.52,0.67,0.92,0.96,0.96,0.91,1.0
b_1,0.7,0.74,0.77,0.73,2.63,1.41,0.81,0.82,0.73,0.83,0.56,0.9,0.85,0.93,0.87,0.98
a_1,0.66,0.8,0.76,0.91,0.66,3.71,1.06,1.05,0.95,0.95,1.09,0.96,0.58,1.14,0.93,1.2
h_1,0.87,1.06,0.79,0.93,0.83,0.56,2.01,1.38,0.95,1.01,1.05,1.01,1.05,0.81,1.33,1.15
g_1,0.73,0.63,1.31,0.83,0.74,0.82,1.08,2.22,0.74,1.09,0.99,1.76,0.97,1.01,0.83,1.29
d_0,0.73,0.83,0.7,1.47,0.75,0.75,1.0,1.02,1.63,0.65,0.98,1.21,0.92,1.01,1.11,1.2
c_0,0.78,0.93,1.03,0.67,0.59,0.78,0.99,1.19,0.99,1.75,2.1,1.34,1.37,1.2,1.06,1.08
b_0,0.8,0.92,0.96,0.93,0.53,0.81,1.01,1.09,0.96,1.01,1.96,1.22,2.16,1.21,1.26,1.15
f_0,0.62,0.66,1.01,0.94,0.79,0.86,1.29,1.27,1.1,1.12,1.14,2.01,1.28,1.23,1.07,2.41
a_0,0.76,0.86,1.16,0.85,0.78,0.47,1.15,1.03,0.94,0.93,1.22,1.15,2.16,1.03,1.34,1.14
h_0,0.75,1.14,0.96,0.83,0.77,0.76,0.79,1.16,0.89,0.91,1.04,0.91,1.17,0.74,1.37,0.99
g_0,0.77,0.78,1.26,0.76,0.83,0.68,1.02,0.95,1.01,1.12,1.1,1.7,1.24,1.13,0.89,1.18
e_0,0.55,0.94,0.89,0.99,0.94,0.96,1.17,1.05,1.05,1.02,0.97,1.15,1.08,0.97,1.24,2.46
