,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.48,0.25,0.27,0.26,0.16,0.16,0.17,0.13,0.13,0.16,0.08,0.16,0.11,0.11,0.14
e_1,0.28,0.94,0.35,0.22,0.27,0.17,0.18,0.32,0.17,0.2,0.16,0.15,0.17,0.1,0.07,0.15
c_1,0.29,0.26,0.93,0.29,0.42,0.23,0.2,0.17,0.14,0.05,0.12,0.15,0.17,0.14,0.13,0.14
d_1,0.33,0.3,0.24,0.94,0.24,0.15,0.21,0.12,0.15,0.32,0.21,0.15,0.18,0.14,0.14,0.13
b_1,0.3,0.29,0.27,0.28,0.93,0.35,0.25,0.21,0.15,0.18,0.08,0.2,0.17,0.11,0.15,0.11
a_1,0.4,0.38,0.32,0.36,0.22,0.93,0.21,0.25,0.23,0.19,0.19,0.2,0.23,0.07,0.11,0.15
h_1,0.83,0.56,0.54,0.57,0.35,0.29,0.72,0.32,0.39,0.29,0.27,0.25,0.18,0.23,0.25,0.32
d_0,0.69,0.49,0.94,0.27,0.49,0.34,0.4,0.62,0.27,0.29,0.36,0.22,0.28,0.26,0.19,0.31
g_1,0.6,0.51,0.56,0.85,0.46,0.28,0.29,0.42,0.71,0.33,0.3,0.44,0.23,0.2,0.27,0.22
c_0,0.84,0.47,0.52,0.49,0.44,0.36,0.42,0.54,0.36,0.64,0.59,0.33,0.44,0.31,0.24,0.29
b_0,0.72,0.66,0.66,0.58,0.23,0.27,0.43,0.44,0.35,0.44,0.65,0.34,0.44,0.5,0.25,0.34
f_0,0.38,0.61,0.74,0.72,0.49,0.4,0.38,0.46,0.32,0.35,0.3,0.62,0.39,0.32,0.5,0.34
h_0,0.83,0.63,0.59,0.72,0.56,0.37,0.26,0.4,0.47,0.37,0.32,0.34,0.23,0.26,0.29,0.4
a_0,0.81,0.81,0.69,0.78,0.48,,0.49,0.41,0.47,0.36,0.28,0.34,0.39,0.6,0.37,0.31
e_0,0.76,0.3,0.71,0.7,0.7,0.35,0.47,0.51,0.41,0.44,0.43,0.29,0.42,0.31,0.6,0.41
g_0,0.73,0.55,0.76,0.91,0.6,0.42,0.36,0.34,0.21,0.35,0.3,0.47,0.41,0.28,0.29,0.23
