,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.49,1.38,1.12,1.03,1.23,1.17,2.2,2.27,4.25,3.15,1.94,2.96,3.21,2.66,2.89,3.41
f_1,1.11,2.49,1.89,1.17,1.09,1.3,2.21,2.12,2.18,2.58,2.66,1.42,2.74,2.57,2.23,3.04
e_1,1.17,1.14,2.49,1.53,1.25,1.08,2.45,2.22,2.47,2.56,4.53,2.87,3.38,2.68,1.89,3.07
c_1,1.3,1.15,1.05,2.62,2.14,1.07,2.22,2.52,1.52,2.04,2.35,2.99,3.08,2.62,2.47,3.17
b_1,1.23,1.38,1.17,0.95,2.76,2.26,2.39,2.15,2.65,1.85,2.18,2.56,3.23,2.58,2.56,3.34
a_1,1.32,1.24,1.38,1.39,0.79,3.15,2.77,2.49,2.68,3.47,3.21,2.43,4.29,2.56,3.49,3.34
h_1,1.53,1.71,1.2,1.36,1.17,1.18,4.04,3.2,2.7,2.85,2.33,2.8,2.54,2.92,2.88,4.76
g_1,1.91,1.27,1.21,1.22,1.23,1.24,2.28,4.39,2.99,2.67,2.43,4.32,3.67,2.89,3.02,2.75
c_0,1.26,1.57,1.35,1.22,1.11,1.41,2.82,2.47,4.05,5.31,3.23,3.5,4.03,3.77,3.16,3.84
b_0,1.3,1.51,1.35,1.68,1.08,1.02,2.85,2.94,2.39,4.1,3.2,3.18,4.1,4.44,3.19,3.54
d_0,0.96,1.2,1.16,2.51,1.52,1.1,2.99,2.68,2.3,2.7,4.12,3.27,3.64,3.01,3.14,3.67
f_0,1.39,1.31,1.11,1.59,1.44,1.3,2.65,2.52,2.83,3.05,2.97,4.46,4.13,2.61,5.75,3.47
h_0,1.52,1.61,1.19,1.51,1.27,1.03,2.48,3.42,2.61,2.98,2.89,3.27,2.99,2.82,3.41,4.55
a_0,1.56,1.44,1.18,1.51,1.41,0.9,2.91,2.88,2.71,3.01,2.92,3.58,4.13,4.84,2.89,4.54
e_0,1.43,1.6,0.9,1.62,1.47,1.22,2.54,2.85,2.93,3.41,2.57,2.57,4.13,3.69,4.99,4.11
g_0,1.78,1.28,1.19,1.47,1.49,1.26,2.48,2.35,2.92,3.01,2.48,4.33,3.21,2.52,3.15,3.08
