,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.5,0.46,0.5,0.47,0.4,0.46,0.49,0.47,0.87,0.51,0.51,0.44,0.49,0.49,0.23,0.62
f_1,0.73,1.53,0.53,0.42,0.42,0.33,0.41,0.48,0.59,0.59,0.58,0.18,0.37,0.54,0.36,0.43
c_1,0.43,0.44,1.55,0.48,0.67,0.38,0.59,0.51,0.49,0.46,0.2,0.64,0.48,0.58,0.44,0.58
d_1,0.43,0.46,0.4,1.56,0.48,0.4,0.6,0.51,0.37,0.68,0.93,0.54,0.36,0.48,0.55,0.38
b_1,0.5,0.52,0.43,0.43,1.59,0.69,0.58,0.43,0.5,0.26,0.65,0.44,0.44,0.67,0.45,0.72
a_1,0.49,0.58,0.5,0.49,0.37,1.7,0.78,0.56,0.61,0.6,0.52,0.57,0.36,0.68,0.44,0.56
h_1,0.73,1.03,0.57,0.78,0.69,0.46,1.68,1.01,0.81,0.84,0.73,0.74,0.78,0.57,0.96,1.06
g_1,0.72,0.72,0.73,1.05,0.72,0.54,0.74,1.77,0.72,0.88,0.8,1.21,0.52,0.84,0.75,0.55
d_0,0.68,0.77,1.28,0.35,0.83,0.59,0.76,0.8,1.51,1.08,0.73,0.85,0.77,1.09,0.88,0.87
b_0,0.88,0.74,0.84,0.83,0.4,0.51,0.91,0.83,0.74,1.54,0.92,1.02,1.6,1.08,0.82,0.96
c_0,0.9,0.79,0.56,0.69,0.58,0.74,1.07,0.82,1.02,1.59,1.51,0.93,1.01,1.2,0.92,0.88
f_0,0.75,0.54,0.83,0.78,0.93,0.56,0.93,0.8,1.01,0.92,0.82,1.64,0.92,1.08,1.37,0.85
a_0,0.79,0.86,0.87,0.97,0.88,0.32,0.81,0.83,1.08,0.8,0.86,0.84,1.65,1.24,0.74,1.06
h_0,0.87,1.09,0.84,0.89,0.7,0.56,0.55,1.04,0.78,0.86,0.74,0.78,0.84,0.49,0.62,0.95
e_0,0.61,1.0,0.86,0.84,0.75,0.63,0.9,0.84,0.96,1.12,0.92,1.01,1.1,1.38,1.68,1.04
g_0,0.89,0.74,0.74,1.32,0.57,0.67,0.77,0.57,0.77,1.12,0.92,1.31,0.92,0.98,0.84,0.69
