,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.91,0.83,1.05,0.78,0.74,0.37,0.5,0.4,0.35,0.41,0.56,0.31,0.36,0.32,0.39
e_1,0.57,0.41,0.93,0.98,1.05,0.9,0.44,0.54,0.45,0.41,0.44,0.51,0.37,0.52,0.76,0.31
d_1,0.97,1.0,0.39,0.94,0.81,0.78,0.48,0.33,0.71,0.4,0.4,0.34,0.29,0.34,0.38,0.23
c_1,0.85,0.7,1.08,0.39,1.14,0.81,0.49,0.44,0.26,0.53,0.34,0.4,0.3,0.36,0.33,0.35
b_1,1.09,0.91,0.92,0.49,0.37,1.2,0.51,0.56,0.42,0.54,0.57,0.39,0.36,0.4,0.38,0.42
a_1,1.09,0.93,0.84,0.9,0.51,0.3,0.64,0.56,0.45,0.47,0.58,0.37,0.37,0.76,0.41,0.4
h_1,0.8,0.81,0.77,0.75,0.77,0.72,0.25,0.47,0.38,0.33,0.33,0.34,0.41,0.35,0.31,0.37
g_1,0.8,0.81,0.88,0.88,0.7,0.72,0.34,0.23,0.33,0.32,0.34,0.46,0.25,0.31,0.4,0.27
d_0,0.76,0.52,0.96,0.9,0.93,0.77,0.42,0.53,0.26,0.35,0.33,0.37,0.33,0.37,0.37,0.36
c_0,0.91,0.9,0.45,1.45,0.75,0.71,0.57,0.42,0.47,0.24,0.4,0.33,0.32,0.39,0.4,0.32
b_0,0.76,0.7,0.69,1.19,1.19,0.68,0.45,0.41,0.4,0.22,0.23,0.38,0.32,0.4,0.36,0.28
f_0,1.21,0.68,0.7,0.77,0.78,1.01,0.45,0.27,0.38,0.35,0.34,0.22,0.27,0.29,0.47,0.22
h_0,0.89,0.74,0.77,0.8,0.71,0.74,0.47,0.4,0.37,0.3,0.32,0.34,0.41,0.31,0.3,0.33
a_0,0.88,0.7,0.8,1.05,0.7,0.88,0.39,0.46,0.43,0.35,0.2,0.34,0.3,0.21,0.3,0.26
e_0,1.42,0.85,0.72,0.82,0.66,0.88,0.43,0.3,0.36,0.29,0.35,0.18,0.27,0.32,0.2,0.27
g_0,0.71,0.84,0.83,0.78,0.73,0.82,0.31,0.57,0.35,0.33,0.34,0.39,0.22,0.33,0.34,0.45
