,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.33,0.2,0.22,0.27,0.31,0.22,0.52,0.91,0.64,0.48,0.57,0.65,0.95,0.7,,0.87
f_1,0.44,2.4,0.23,0.29,0.18,0.22,0.56,0.61,0.67,0.42,0.71,,0.71,0.67,0.57,1.02
d_1,0.33,0.32,2.52,0.2,0.34,0.29,0.61,,0.85,0.48,0.57,0.68,0.72,0.65,0.46,0.61
c_1,0.32,0.22,0.35,2.62,0.46,0.26,0.45,0.51,,0.52,0.58,0.64,0.9,0.58,0.55,0.68
b_1,0.22,0.37,0.23,0.24,2.8,0.5,0.57,0.77,0.6,0.68,,0.55,0.59,,0.62,0.6
a_1,0.32,0.35,0.26,0.28,0.18,3.2,0.79,0.7,0.37,0.42,0.59,,0.74,,0.95,
h_1,0.52,0.76,0.5,0.54,0.55,0.4,3.76,1.07,1.02,1.36,1.21,1.11,,0.96,1.19,1.88
d_0,0.56,0.71,,1.07,0.63,0.56,1.03,3.38,1.44,1.09,1.19,1.67,1.67,1.41,1.06,1.4
c_0,0.6,0.69,0.61,,0.55,0.84,1.28,1.03,3.48,1.31,2.01,1.16,1.89,1.0,1.19,1.7
g_1,0.5,0.5,0.88,0.49,0.39,0.5,0.89,1.27,1.04,4.25,1.1,1.47,1.42,1.1,1.28,
b_0,0.7,0.53,0.65,0.56,,0.71,1.36,1.63,1.21,1.15,3.63,1.34,1.75,,1.19,1.21
f_0,0.56,,0.5,0.74,0.55,,1.11,1.16,1.65,1.13,1.61,3.75,1.51,1.15,2.71,1.64
h_0,0.63,0.87,0.79,0.62,0.78,0.74,,1.95,1.69,1.71,1.52,1.76,,1.66,1.66,2.74
a_0,0.49,0.62,0.47,0.75,,,1.69,1.34,1.54,1.41,,1.65,2.01,4.62,,2.0
e_0,,0.61,0.74,0.51,0.77,0.52,0.97,1.31,1.68,1.43,1.59,0.95,2.18,,4.74,1.5
g_0,0.57,0.51,1.12,0.74,1.01,,1.37,1.54,1.64,,2.06,2.58,1.72,1.58,1.62,
