,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,1.36,1.78,1.98,2.64,1.69,0.96,0.89,0.8,0.99,0.72,0.88,0.72,0.82,2.21,0.65
f_1,2.4,0.66,1.88,2.54,1.68,1.61,0.7,0.69,0.69,0.99,0.78,1.54,0.47,0.62,0.68,0.81
d_1,2.82,2.45,0.65,1.79,2.29,2.13,0.86,1.53,0.81,0.59,0.7,0.76,0.64,0.78,0.61,0.42
c_1,2.0,2.03,3.13,0.64,2.36,1.99,0.99,0.47,1.46,1.0,0.88,0.69,0.69,0.62,0.85,0.62
b_1,1.96,3.05,2.11,1.34,0.62,3.26,1.06,0.9,0.97,1.32,2.75,0.91,0.69,1.21,0.74,0.56
a_1,3.06,2.97,2.45,2.77,1.48,0.58,1.59,1.08,0.79,0.99,0.85,0.8,0.75,2.9,0.91,1.07
h_1,2.74,2.51,2.82,3.06,2.71,1.96,0.6,1.11,0.96,1.28,0.95,0.9,1.22,0.72,0.83,0.88
d_0,1.77,3.27,6.5,3.57,2.43,2.26,1.5,0.69,1.22,1.47,0.94,1.11,0.77,0.94,0.89,0.87
c_0,2.82,2.83,1.79,8.9,2.82,3.24,1.39,1.21,0.67,1.39,1.22,1.02,0.76,0.94,0.91,0.83
g_1,2.7,3.21,3.13,3.25,2.19,3.8,1.07,1.18,0.98,0.56,1.07,0.96,0.64,0.73,0.87,1.15
b_0,2.94,2.73,3.25,3.01,3.54,2.85,1.27,1.21,0.73,1.43,0.65,0.93,0.89,1.26,0.89,0.84
f_0,2.7,6.1,2.88,3.33,2.82,3.09,1.44,1.08,1.2,1.06,1.02,0.64,0.8,0.84,0.97,0.55
h_0,2.82,4.05,3.37,3.5,3.28,3.29,2.72,1.34,1.25,1.78,1.23,1.16,1.59,1.04,0.98,1.08
a_0,3.1,3.68,3.46,4.34,3.45,,1.69,1.41,1.38,2.0,0.8,1.35,1.19,0.6,1.18,0.95
e_0,,4.74,4.15,3.06,3.03,2.73,1.91,1.42,1.36,1.3,1.31,0.77,0.95,1.26,0.59,1.08
g_0,3.98,3.03,4.24,4.0,3.82,3.03,1.4,1.48,1.33,3.01,1.32,1.39,0.92,1.07,1.22,1.41
