,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.41,1.4,0.86,1.33,1.24,1.14,0.69,0.76,0.56,0.99,0.59,0.59,0.45,0.59,1.15,0.7
d_1,1.64,0.4,1.33,1.48,1.15,1.27,0.7,1.72,0.59,0.45,0.59,0.49,0.54,0.3,0.63,0.52
f_1,1.38,1.3,0.4,1.34,1.06,1.29,0.6,0.49,0.54,0.72,0.55,1.19,0.38,0.75,0.61,0.6
c_1,1.17,1.41,1.21,0.4,1.83,1.14,0.67,0.34,1.15,0.63,0.58,0.68,0.53,0.46,0.62,0.52
b_1,1.26,1.46,1.75,0.73,0.37,2.12,0.66,0.61,0.6,0.71,1.06,0.47,0.57,0.46,0.51,0.56
a_1,1.65,1.4,1.12,1.62,0.71,0.31,0.76,0.61,0.57,1.03,0.76,0.61,0.51,0.48,0.47,1.09
h_1,0.99,0.99,1.08,0.86,1.12,0.83,0.26,0.51,0.51,0.62,0.34,0.39,0.62,0.37,0.4,0.44
d_0,0.53,1.48,1.24,1.21,1.02,0.88,0.51,0.28,0.41,0.52,0.52,0.36,0.37,0.41,0.43,0.38
c_0,1.06,0.57,1.09,2.04,1.1,0.91,0.51,0.52,0.27,0.53,0.46,0.46,0.35,0.42,0.48,0.42
g_1,0.79,1.1,1.08,1.04,0.9,0.8,0.4,0.52,0.53,0.23,0.48,0.54,0.26,0.69,0.43,0.42
b_0,0.98,0.85,1.06,1.1,1.73,0.86,0.53,0.38,0.25,0.47,0.25,0.4,0.35,0.39,0.37,0.53
f_0,0.84,0.9,2.24,0.9,1.05,0.92,0.52,0.55,0.38,0.34,0.42,0.25,0.4,0.3,0.38,0.35
h_0,0.89,0.85,0.99,1.04,0.93,0.99,0.88,0.45,0.42,0.71,0.46,0.42,0.55,0.39,0.31,0.3
g_0,0.73,1.16,0.92,1.06,1.0,0.94,0.46,0.47,0.4,0.63,0.41,0.4,0.33,0.6,0.34,0.39
e_0,1.51,0.69,1.0,0.92,1.46,1.07,0.53,0.57,0.39,0.44,0.44,0.3,0.41,0.42,0.2,0.3
a_0,0.82,0.87,0.99,0.98,1.3,,0.48,0.41,0.41,0.58,0.25,0.46,0.46,0.4,0.49,0.21
