,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.67,0.88,1.18,1.46,1.25,1.23,0.6,0.64,0.63,0.42,0.5,0.53,0.53,0.4,0.41,0.74
f_1,1.38,0.67,1.12,1.24,1.29,1.08,0.48,0.46,0.71,0.46,0.4,0.59,0.43,0.28,0.38,0.32
d_1,1.59,1.5,0.65,1.17,1.15,1.13,0.56,0.71,0.39,0.57,0.49,0.45,0.42,0.37,0.29,0.43
c_1,1.12,1.41,1.76,0.64,1.63,1.15,0.65,0.3,0.59,0.61,0.43,0.43,0.4,0.39,0.34,0.41
b_1,1.69,1.58,1.58,0.91,0.6,1.93,0.68,0.52,0.71,0.58,0.93,0.62,0.5,0.58,0.46,0.53
a_1,1.56,1.96,1.74,1.81,0.87,0.57,0.83,0.64,0.78,0.61,0.82,0.67,0.99,0.47,0.64,0.59
h_1,2.0,2.05,1.92,1.83,1.88,1.61,0.58,0.73,0.91,0.67,0.67,0.66,0.66,0.68,0.57,0.64
d_0,1.3,2.38,2.85,2.86,2.67,1.98,1.12,0.62,1.08,0.64,0.81,0.77,0.76,0.6,0.67,0.75
g_1,2.05,2.02,2.71,2.13,2.03,1.97,0.85,0.76,0.54,0.91,0.82,0.93,0.79,0.49,0.91,0.77
c_0,2.53,2.14,1.4,3.41,2.33,1.89,1.1,1.25,0.9,0.6,0.99,0.88,0.88,0.8,0.76,0.69
b_0,2.04,2.82,2.07,2.7,3.29,1.69,1.13,0.93,0.93,0.54,0.59,0.78,1.02,0.71,0.61,0.8
f_0,2.17,3.96,2.14,2.39,2.1,1.92,1.11,0.88,0.64,0.78,0.86,0.57,0.86,0.74,0.51,0.99
a_0,2.26,2.74,2.33,3.08,2.98,3.41,1.26,1.04,1.02,0.87,0.55,0.79,0.56,0.73,0.66,0.94
h_0,2.27,2.89,2.43,2.84,2.26,2.15,1.48,1.06,1.45,0.81,0.98,0.89,0.87,0.98,0.81,0.81
g_0,2.6,3.09,2.81,3.36,2.68,1.76,1.11,0.99,1.24,0.76,0.92,0.95,1.05,0.62,0.92,0.79
e_0,3.08,4.07,2.67,2.72,2.56,2.26,1.22,1.05,0.98,1.0,0.97,0.58,0.89,0.84,0.81,0.57
