,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.46,1.04,1.96,1.25,1.05,1.08,2.17,2.05,2.67,2.28,1.64,2.45,2.85,3.27,2.75,1.94
d_1,1.43,2.49,1.27,1.03,1.2,0.96,2.26,2.32,1.92,4.3,2.86,3.23,3.55,3.06,2.91,2.73
e_1,1.09,1.06,2.49,1.38,1.29,1.4,2.42,2.45,4.18,2.73,2.99,3.12,3.72,3.34,2.9,2.38
c_1,1.25,1.29,1.08,2.57,2.0,0.91,2.19,2.07,2.14,1.42,2.47,2.09,3.44,3.25,2.55,2.8
b_1,1.36,1.22,1.14,1.09,2.69,2.17,2.63,2.41,2.52,2.74,2.68,1.92,3.07,3.53,2.23,2.99
a_1,1.34,1.5,1.07,1.49,0.9,3.32,2.37,2.55,2.84,2.65,3.05,3.07,3.48,3.18,1.52,2.78
h_1,1.65,1.39,1.21,1.61,1.25,1.25,4.03,3.01,2.83,2.71,2.64,2.97,2.52,4.61,2.69,3.37
g_1,1.23,1.91,1.24,1.44,1.18,1.28,2.31,4.42,2.38,2.99,3.82,3.24,3.34,2.68,2.43,3.21
d_0,1.31,1.17,1.15,2.25,1.46,1.31,2.88,2.92,3.98,2.23,2.44,2.9,3.45,3.66,3.2,3.11
c_0,1.42,1.28,1.25,1.22,1.22,1.53,2.86,3.05,3.57,4.21,3.34,5.13,4.08,4.04,3.75,3.74
f_0,1.07,1.56,1.13,1.41,1.47,1.42,2.89,2.97,3.1,3.07,4.34,3.37,3.73,3.31,3.25,5.43
b_0,1.51,1.44,1.11,1.69,1.02,1.14,2.81,2.34,3.07,2.44,3.06,4.34,4.16,3.95,5.69,3.49
h_0,1.76,1.45,1.25,1.3,1.44,1.26,2.09,3.15,2.69,2.76,3.2,3.05,2.83,4.51,3.03,2.68
g_0,1.21,1.85,1.31,1.4,1.18,1.35,2.55,2.28,2.62,3.11,4.14,3.19,2.9,2.82,3.4,3.13
a_0,1.31,1.47,1.3,1.35,1.51,1.18,3.03,2.69,3.08,2.54,3.37,2.48,4.2,3.97,5.21,2.53
e_0,1.44,1.54,0.87,1.47,1.46,1.36,2.98,2.95,2.89,2.67,2.72,3.37,4.31,4.24,4.0,5.26
