,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,1.77,0.9,1.05,0.92,0.77,1.98,1.86,1.55,2.44,1.87,1.39,2.74,1.6,1.32,2.34
e_1,1.18,2.41,0.93,1.18,0.93,0.82,2.0,2.01,1.68,3.6,2.08,1.99,2.72,2.0,1.37,2.56
d_1,1.13,1.06,2.46,0.75,0.93,0.96,1.9,3.77,1.91,1.75,2.73,2.3,2.99,2.15,1.98,2.71
c_1,1.01,0.87,1.05,2.57,1.83,0.8,1.78,1.26,1.81,1.79,1.42,1.91,2.72,1.78,1.87,2.62
b_1,1.03,0.94,1.1,0.92,2.59,1.67,2.07,2.05,1.62,2.06,1.36,1.91,2.71,1.4,1.6,2.54
a_1,1.21,1.08,1.08,1.1,0.9,3.02,2.41,2.19,1.76,2.47,2.06,2.13,2.92,1.37,1.61,2.6
h_1,1.56,1.15,1.19,1.1,0.96,0.84,3.45,2.25,2.19,2.07,2.37,1.99,2.42,2.24,1.72,3.33
c_0,1.38,1.18,1.23,0.93,0.92,0.76,2.02,3.41,2.31,2.51,4.07,2.32,3.32,2.86,2.29,2.73
g_1,0.96,0.97,1.69,1.1,1.07,0.86,1.94,2.68,3.78,1.98,2.17,3.22,2.97,1.91,2.01,2.27
d_0,1.18,1.11,0.95,1.8,1.17,0.72,2.2,1.83,1.85,3.11,2.21,1.76,3.14,2.24,1.79,2.51
b_0,1.31,1.26,1.2,1.16,0.9,0.65,2.31,2.56,2.13,2.37,3.6,2.27,3.22,4.08,2.15,2.72
f_0,0.99,0.97,1.22,1.18,1.2,0.89,2.27,2.72,2.02,2.17,2.48,3.57,3.35,2.88,3.85,2.68
h_0,1.46,1.2,1.23,1.12,1.03,0.75,1.71,2.46,2.31,2.26,2.01,2.03,2.19,1.84,2.16,3.27
a_0,1.26,1.1,1.15,1.3,1.18,0.66,2.16,2.34,1.99,2.32,2.61,2.19,3.01,3.75,2.52,2.54
e_0,1.23,0.87,1.3,1.17,1.11,0.84,2.23,2.56,2.38,2.22,2.56,2.45,3.54,2.3,3.99,3.02
g_0,1.06,0.99,1.6,1.1,0.99,0.83,2.15,2.42,1.76,2.06,2.54,3.41,3.04,2.33,2.53,2.22
