,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.2,1.12,1.29,1.83,2.57,15.26,28.96,28.08,25.41,38.02,46.4,60.76,57.29,136.42,93.62
e_1,0.84,1.0,1.08,1.29,1.73,2.79,23.15,30.22,45.42,33.41,47.72,69.09,78.96,79.02,132.37,133.8
d_1,0.9,0.93,1.0,1.08,1.41,2.79,16.84,19.59,26.33,37.71,42.95,48.45,62.11,74.3,89.76,127.4
c_1,0.77,0.77,0.92,1.0,1.85,2.2,14.37,20.05,16.9,19.56,26.88,39.99,54.44,56.58,92.68,81.44
b_1,0.55,0.57,0.7,0.54,1.0,2.41,12.28,18.34,18.94,17.33,19.94,36.32,39.98,46.59,72.02,79.91
a_1,0.39,0.36,0.36,0.46,0.41,1.0,7.99,10.72,9.99,11.1,13.49,16.61,34.78,31.15,39.36,41.81
h_1,0.06,0.04,0.06,0.07,0.08,0.13,1.0,1.8,1.62,1.64,2.03,2.61,3.41,4.06,7.24,6.56
g_1,0.03,0.04,0.05,0.05,0.05,0.1,0.55,1.0,0.79,0.99,1.4,2.15,2.12,2.25,4.8,4.04
d_0,0.03,0.02,0.04,0.06,0.06,0.1,0.61,1.2,1.0,0.89,1.27,1.69,2.46,2.53,3.88,3.74
c_0,0.04,0.03,0.03,0.05,0.05,0.09,0.58,1.07,1.17,1.0,2.09,1.92,2.75,2.64,4.18,3.83
b_0,0.03,0.02,0.02,0.04,0.06,0.07,0.5,0.7,0.79,0.48,1.0,1.15,2.78,2.02,3.31,2.93
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.4,0.44,0.59,0.53,0.85,1.0,1.42,1.34,1.89,4.16
a_0,0.02,0.01,0.02,0.02,0.03,0.03,0.29,0.45,0.39,0.35,0.42,0.72,1.0,1.03,1.61,1.27
h_0,0.02,0.01,0.01,0.02,0.02,0.03,0.25,0.46,0.39,0.38,0.49,0.73,0.97,1.0,1.85,1.66
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.21,0.25,0.23,0.31,0.57,0.64,0.56,1.0,1.05
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.24,0.24,0.25,0.33,0.23,0.77,0.65,0.98,1.0
