,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.07,6.11,8.51,10.28,7.42,8.01,3.23,2.92,3.52,2.45,1.95,2.08,1.8,,2.02,1.99
f_1,10.46,1.07,9.89,10.53,9.89,8.36,2.57,2.49,3.68,2.46,2.45,,1.47,1.86,1.93,1.63
d_1,12.64,11.46,1.07,8.03,11.03,7.07,3.44,,2.25,2.91,2.94,3.11,1.9,2.8,2.21,1.24
c_1,9.48,9.42,11.38,1.07,11.04,10.03,3.32,1.56,3.77,,3.42,4.32,2.69,2.47,2.84,1.76
b_1,11.11,9.02,9.24,7.41,1.07,14.23,3.29,3.35,3.49,3.0,,3.45,3.69,3.05,,1.71
a_1,14.18,13.69,17.34,10.8,8.49,1.07,5.19,5.66,,5.57,5.42,3.24,3.77,,,
h_1,17.07,15.34,14.17,12.52,13.54,13.85,1.41,4.82,5.98,3.62,3.94,2.83,,3.16,3.06,3.66
d_0,9.01,15.24,,20.57,11.6,10.27,4.74,1.72,4.9,4.84,4.19,4.59,2.35,3.29,4.73,2.99
g_1,16.59,20.88,20.76,16.15,17.05,,4.89,4.87,1.41,5.17,4.63,3.95,2.86,4.98,4.7,
c_0,17.95,15.29,8.82,,22.19,9.1,6.19,4.89,5.5,1.7,5.1,3.73,3.07,3.8,,2.9
b_0,17.63,15.87,15.25,17.13,,15.67,5.88,5.25,6.3,3.12,1.72,4.38,4.17,4.45,4.19,4.18
f_0,19.36,,14.09,14.66,13.33,17.71,9.53,4.39,4.79,6.07,5.97,1.74,4.1,4.02,,3.0
h_0,16.69,17.3,17.26,15.33,10.55,14.24,,5.95,6.33,4.58,4.88,4.69,,4.0,4.17,3.29
e_0,,26.23,19.3,25.02,22.06,,8.83,9.49,6.89,6.89,6.17,4.73,5.29,1.73,,4.87
a_0,27.68,26.82,25.55,18.75,,,11.93,5.3,6.26,,3.75,,5.94,,1.76,
g_0,21.46,26.52,30.97,19.78,24.73,,6.33,7.61,,5.9,6.31,5.36,4.05,4.61,,
