,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.92,0.96,1.03,1.02,1.01,1.1,1.12,0.84,,1.06,0.91,0.85,1.07,0.87
e_1,0.83,1.0,1.1,0.97,0.92,1.11,0.96,0.81,1.26,0.96,1.07,1.03,1.06,,0.85,1.02
c_1,1.08,0.91,1.0,0.88,1.27,0.87,1.03,1.23,0.71,,0.89,0.74,1.22,1.19,0.87,1.25
d_1,1.04,1.03,1.13,1.0,1.14,,1.06,0.8,,1.49,0.78,0.98,1.08,0.91,0.77,0.76
b_1,0.97,1.08,0.79,0.87,1.0,1.53,1.18,0.96,1.1,1.24,1.04,,0.9,0.87,1.08,0.82
a_1,0.98,0.9,1.15,,0.65,1.0,1.0,0.96,1.0,,1.15,1.1,1.0,,,
h_1,0.99,1.04,0.97,0.94,0.85,1.0,1.0,1.22,0.88,1.06,1.18,0.89,,1.05,0.91,1.12
g_1,0.91,1.24,0.81,1.25,1.05,1.04,0.82,1.0,1.15,0.88,1.75,1.1,0.6,0.9,0.92,
d_0,0.89,0.79,1.4,,0.91,1.0,1.14,0.87,1.0,1.0,0.9,1.02,1.07,0.79,1.33,1.02
c_0,1.2,1.04,,0.67,0.81,,0.95,1.14,1.0,1.0,1.02,1.48,1.08,0.84,0.96,1.08
f_0,,0.93,1.13,1.28,0.96,0.87,0.85,0.57,1.11,0.98,1.0,1.0,1.16,1.58,,0.89
b_0,0.95,0.97,1.35,1.02,,0.91,1.12,0.91,0.98,0.67,1.0,1.0,1.45,,1.48,0.88
h_0,1.1,0.94,0.82,0.92,1.11,1.0,,1.68,0.93,0.93,0.86,0.69,,1.41,1.07,1.22
e_0,1.17,,0.84,1.1,1.15,,0.95,1.11,1.26,1.19,0.63,,0.71,1.0,1.11,1.05
a_0,0.94,1.17,1.15,1.3,0.93,,1.1,1.09,0.75,1.04,,0.67,0.93,0.9,1.0,1.28
g_0,1.15,0.98,0.8,1.32,1.22,,0.89,,0.98,0.93,1.12,1.14,0.82,0.95,0.78,
