,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.62,0.67,0.55,0.81,0.69,0.55,0.85,0.8,1.64,0.99,1.04,1.06,0.98,0.56,0.97,0.97
f_1,1.23,2.68,0.63,0.54,0.62,0.44,0.94,0.75,0.76,0.86,0.41,0.95,0.98,0.71,0.74,0.9
d_1,0.63,0.78,2.81,0.49,0.58,0.59,0.99,0.94,0.51,1.69,0.98,1.22,0.88,1.0,1.22,1.08
c_1,0.48,0.64,0.59,2.79,1.1,0.7,0.88,0.84,0.95,0.3,0.97,0.66,0.94,0.99,0.84,0.87
b_1,0.6,0.65,0.72,0.66,3.0,1.19,0.78,0.86,0.93,0.79,0.7,0.37,1.08,0.93,0.81,0.65
a_1,0.61,0.67,0.7,0.67,0.63,4.36,1.02,1.0,0.88,0.98,1.14,0.98,0.87,0.88,1.08,0.62
h_1,0.77,1.1,0.89,0.8,0.73,0.69,2.69,1.3,0.94,1.16,1.07,1.16,0.74,0.94,1.48,1.09
g_1,0.63,0.58,1.26,0.94,0.73,0.66,1.02,3.14,0.92,1.17,1.84,1.33,1.25,1.34,0.83,1.08
d_0,0.75,0.75,0.32,1.69,0.73,0.75,1.01,1.2,2.09,0.82,1.2,0.85,1.19,1.07,1.0,1.12
c_0,0.87,0.82,0.96,0.59,0.58,0.71,1.27,1.29,1.1,2.17,1.38,2.36,1.28,1.33,1.2,1.54
f_0,0.61,0.55,0.96,0.98,0.78,0.87,1.07,1.11,1.08,1.21,2.47,1.17,1.1,2.87,1.3,1.24
b_0,0.89,0.82,0.89,0.87,0.45,0.76,1.11,1.22,1.11,1.09,1.41,2.49,1.33,1.27,1.5,2.58
h_0,0.79,1.11,0.87,0.83,0.69,0.71,0.67,1.59,1.1,0.95,1.22,1.04,0.85,1.13,1.56,1.17
e_0,0.43,0.81,0.93,0.97,0.67,0.96,1.31,1.22,1.21,1.22,1.05,1.09,1.45,3.62,1.18,1.17
g_0,0.68,0.71,1.28,0.8,0.66,0.79,1.19,0.95,0.9,1.12,1.98,1.23,1.03,1.36,0.92,1.07
a_0,0.72,0.95,1.03,0.89,0.59,0.47,1.27,1.43,0.97,1.11,1.17,1.31,1.38,1.43,1.15,3.08
