,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.53,1.22,0.6,0.68,0.69,0.52,0.8,0.89,0.88,0.87,0.94,0.54,0.69,0.74,0.49,0.75
e_1,0.68,1.53,0.68,0.84,0.69,0.66,0.88,0.88,1.46,0.88,0.93,0.93,0.8,0.97,0.55,0.84
d_1,0.92,0.71,1.57,0.6,0.69,0.56,0.9,1.44,0.53,0.68,1.01,0.92,0.95,0.99,0.85,0.88
c_1,0.74,0.69,0.75,1.58,1.21,0.55,0.8,0.56,0.73,0.73,0.66,0.94,0.73,0.76,0.75,0.65
b_1,0.8,0.74,0.81,0.62,1.6,1.12,0.79,0.87,0.9,0.84,0.61,0.74,0.6,1.03,0.75,1.02
a_1,0.99,0.65,0.9,0.88,0.58,1.72,1.05,0.95,0.98,0.9,0.95,0.84,0.55,1.09,0.92,0.98
h_1,1.29,0.98,0.95,0.98,0.85,0.68,1.75,1.15,1.21,1.16,1.21,1.04,1.04,0.99,0.92,1.38
c_0,1.05,1.04,1.02,0.87,0.79,0.83,1.23,1.64,1.16,1.17,1.94,1.08,1.32,1.25,0.99,1.23
d_0,1.01,0.85,0.84,1.7,0.97,0.79,1.13,0.94,1.63,1.07,1.1,1.15,1.0,1.21,0.97,1.17
g_1,0.87,0.81,1.44,1.07,0.89,0.77,1.15,1.13,1.1,1.84,1.16,1.62,1.07,1.2,1.01,1.02
b_0,1.06,1.06,1.04,1.15,0.66,0.78,1.22,1.12,1.27,1.18,1.67,1.26,1.8,1.26,0.99,1.22
f_0,0.96,0.85,1.04,1.1,1.09,0.9,1.37,1.19,1.16,0.96,1.02,1.74,1.09,1.32,1.97,1.19
a_0,1.3,1.14,1.21,1.06,0.99,0.8,1.35,1.22,1.43,1.08,1.07,1.05,1.72,1.52,1.09,1.27
h_0,1.35,1.07,1.13,1.11,0.86,0.96,0.83,1.26,1.36,1.33,1.38,1.12,1.02,1.06,1.14,1.49
e_0,1.4,0.76,0.94,1.18,1.11,0.94,1.4,1.41,1.3,1.27,1.51,0.96,1.18,1.55,1.81,1.41
g_0,1.06,1.04,1.57,1.2,0.82,0.91,1.17,1.32,1.19,0.87,1.26,1.6,1.06,1.14,1.18,1.04
