,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.53,0.89,0.94,1.25,1.0,0.75,1.29,1.75,1.08,1.13,1.21,1.18,1.23,1.09,0.98,1.21
d_1,1.06,1.56,1.13,0.89,0.92,0.72,1.15,1.12,1.02,1.71,1.33,1.21,1.3,1.09,1.07,1.16
f_1,1.4,0.94,1.55,1.0,0.95,0.82,1.0,1.23,1.01,1.06,1.11,0.88,1.22,1.07,0.78,1.15
c_1,0.95,1.03,1.07,1.58,1.48,0.91,1.19,1.07,1.09,0.85,0.84,1.12,1.17,1.0,0.97,1.16
b_1,1.05,1.09,1.11,0.89,1.62,1.51,1.23,1.11,1.14,1.25,0.98,1.04,1.28,0.78,1.0,1.23
a_1,1.16,1.25,1.27,1.12,0.8,1.78,1.35,1.34,1.31,1.29,1.34,1.2,1.44,1.01,1.03,1.35
h_1,1.25,1.32,1.65,1.17,1.13,0.88,1.86,1.29,1.52,1.37,1.36,1.24,1.29,1.34,1.15,1.59
d_0,1.17,1.1,1.25,1.94,1.38,1.03,1.63,1.8,1.42,1.08,1.43,1.24,1.57,1.38,1.22,1.48
g_1,1.19,1.67,1.19,1.25,1.16,1.02,1.35,1.28,1.96,1.49,1.38,1.96,1.35,1.25,1.4,1.44
c_0,1.34,1.26,1.46,1.25,1.02,1.0,1.55,1.85,1.37,1.89,2.28,1.49,1.84,1.58,1.33,1.5
b_0,1.42,1.26,1.43,1.55,1.1,0.87,1.7,1.67,1.59,1.38,1.9,1.63,1.85,2.24,1.29,1.46
f_0,1.27,1.44,1.23,1.37,1.35,1.13,1.67,1.82,1.41,1.65,1.5,1.96,1.59,1.61,2.37,1.61
h_0,1.38,1.51,1.52,1.45,1.18,1.05,1.45,1.52,1.72,1.49,1.39,1.51,1.51,1.31,1.22,1.89
a_0,1.47,1.53,1.39,1.57,1.44,0.84,1.63,1.73,1.75,1.42,1.29,1.45,1.91,1.86,1.39,1.51
e_0,1.31,1.56,1.57,1.33,1.31,1.07,1.88,1.85,1.52,1.6,1.89,1.32,1.98,1.58,1.97,1.72
g_0,1.31,1.84,1.37,1.36,1.2,1.0,1.59,1.58,1.3,1.87,1.75,1.94,1.58,1.54,1.55,1.59
