,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.48,0.81,0.47,0.42,0.33,0.36,0.48,0.53,0.53,0.48,0.49,0.16,0.54,0.46,0.51,0.34
e_1,0.41,1.51,0.53,0.41,0.48,0.35,0.56,0.46,0.94,0.62,0.5,0.58,0.58,0.44,0.54,0.27
c_1,0.47,0.45,1.53,0.44,0.79,0.33,0.6,0.48,0.46,0.24,0.42,0.53,0.61,0.38,0.49,0.42
d_1,0.59,0.44,0.43,1.55,0.41,0.38,0.54,0.42,0.27,0.86,0.54,0.54,0.58,0.5,0.57,0.4
b_1,0.54,0.41,0.42,0.46,1.61,0.71,0.6,0.55,0.65,0.59,0.27,0.47,0.69,0.36,0.64,0.41
a_1,0.68,0.58,0.55,0.44,0.34,1.77,0.58,0.55,0.7,0.63,0.43,0.5,0.8,0.27,0.46,0.37
h_1,1.1,0.68,0.56,0.83,0.59,0.5,1.7,0.84,0.82,0.82,0.86,0.75,0.68,0.66,0.92,0.75
g_1,0.65,0.77,0.77,1.18,0.56,0.53,0.71,1.76,0.8,0.75,0.88,1.15,0.84,0.83,0.48,0.83
d_0,0.74,0.58,1.36,0.49,0.64,0.46,0.94,0.87,1.49,0.79,0.91,1.03,1.18,0.94,0.93,0.87
c_0,1.0,0.67,0.59,0.8,0.56,0.61,0.79,0.93,1.06,1.53,1.76,0.91,1.04,0.95,1.22,0.91
b_0,0.82,0.76,0.81,0.97,0.32,0.74,0.93,0.93,0.85,0.61,1.59,0.94,1.06,1.27,0.85,0.89
f_0,0.65,0.61,0.91,0.95,0.66,0.47,0.89,0.88,1.08,0.98,1.04,1.66,1.38,1.0,0.97,1.41
h_0,1.04,0.7,0.95,0.89,0.64,0.46,0.42,1.14,0.84,0.88,1.01,0.76,0.63,0.88,1.01,0.7
a_0,0.91,0.86,0.98,0.77,0.7,,1.04,0.94,0.87,0.75,0.93,1.05,1.01,1.7,0.94,0.92
g_0,0.84,0.64,0.79,1.22,0.72,0.6,0.88,0.65,0.78,0.65,1.23,1.26,1.07,0.85,0.64,0.75
e_0,1.07,0.36,1.04,0.95,0.93,0.65,0.72,0.84,1.08,0.97,1.14,0.93,1.26,0.66,1.12,1.81
