,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.71,0.94,0.97,0.86,0.9,0.42,0.4,0.38,0.45,0.39,0.46,0.29,0.33,0.29,0.43
f_1,1.02,0.65,0.91,0.92,0.86,0.77,0.35,0.36,0.34,0.43,0.33,0.36,0.23,0.3,0.27,0.27
d_1,1.03,0.97,0.65,0.96,0.9,0.74,0.41,0.43,0.37,0.3,0.35,0.32,0.26,0.3,0.21,0.28
c_1,0.87,0.98,1.15,0.63,1.04,0.9,0.45,0.25,0.38,0.41,0.34,0.35,0.3,0.32,0.29,0.31
b_1,1.11,1.19,1.2,0.75,0.6,1.1,0.55,0.4,0.48,0.51,0.46,0.35,0.33,0.36,0.3,0.33
a_1,1.26,1.38,1.33,1.2,0.8,0.55,0.68,0.47,0.51,0.58,0.58,0.44,0.38,0.52,0.36,0.38
h_1,1.52,1.63,1.5,1.63,1.47,1.24,0.53,0.57,0.56,0.72,0.54,0.51,0.52,0.54,0.49,0.44
d_0,1.27,1.57,1.83,2.05,1.68,1.57,0.84,0.57,0.6,0.78,0.64,0.66,0.56,0.54,0.58,0.62
c_0,1.73,1.81,1.27,2.22,1.62,1.38,0.77,0.72,0.54,0.66,0.7,0.64,0.54,0.62,0.49,0.55
g_1,1.62,1.68,1.76,1.85,1.71,1.42,0.68,0.66,0.61,0.52,0.63,0.62,0.43,0.56,0.55,0.59
b_0,1.69,1.78,1.51,2.23,2.12,1.39,0.8,0.69,0.46,0.74,0.53,0.62,0.55,0.64,0.5,0.54
f_0,1.75,2.09,1.76,2.01,1.89,1.73,0.88,0.73,0.64,0.66,0.65,0.52,0.6,0.6,0.42,0.72
h_0,1.98,2.23,1.95,2.1,1.82,1.54,0.99,0.75,0.65,0.84,0.66,0.64,0.62,0.69,0.58,0.57
a_0,2.05,2.07,2.08,2.17,2.28,2.13,0.96,0.8,0.67,0.82,0.53,0.71,0.68,0.52,0.65,0.71
g_0,2.11,2.09,2.26,2.11,2.17,1.71,0.83,0.76,0.74,0.91,0.76,0.79,0.57,0.68,0.67,0.67
e_0,2.22,2.61,2.02,2.28,2.08,2.07,0.95,0.89,0.8,0.86,0.74,0.47,0.7,0.71,0.54,0.52
