,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,88.11,27.17,51.82,52.51,92.15,230.63,6101.41,16055.75,15856.25,31169.97,25274.38,43675.81,84213.79,75039.93,40388.79,144142.17
f_1,46.61,89.22,48.18,52.06,75.34,217.2,5346.92,9533.53,14713.86,23181.24,23802.0,15791.91,65009.51,78072.81,67936.04,134417.92
c_1,24.86,23.69,127.81,61.98,113.44,207.3,5829.1,6861.56,5216.39,16206.52,19467.47,30763.37,56625.3,46709.6,86848.66,124780.29
d_1,23.57,24.79,22.83,155.32,62.4,210.66,5355.67,5081.18,20299.4,30663.29,22003.88,35575.5,62350.79,52690.5,67444.76,112320.05
b_1,16.8,23.12,30.38,43.53,205.38,297.09,4869.73,9187.62,11468.78,11136.65,14750.46,31530.09,53745.58,43744.63,52928.61,90822.41
a_1,11.89,16.28,23.8,27.75,30.62,514.06,3451.69,6656.66,11473.13,16569.93,13326.79,19982.7,46608.65,16942.69,46244.19,60562.14
h_1,7.46,11.08,13.16,16.28,17.8,63.14,3497.71,2207.79,4070.87,6913.11,8556.28,11095.36,7916.2,13118.08,23252.55,40587.44
d_0,6.63,7.23,20.1,7.21,15.59,42.85,1651.94,4172.07,3704.56,7349.79,6881.83,8115.78,18611.33,15539.95,21272.01,39004.67
c_0,6.18,7.83,7.12,11.98,16.22,41.28,1510.95,2176.07,6024.62,8389.07,5354.57,9202.2,15872.53,13857.31,15788.52,24781.43
b_0,6.04,5.91,9.19,7.91,7.45,32.66,1249.48,1977.54,3189.49,9260.17,4583.75,6159.63,12701.5,19201.87,11597.34,28210.96
g_1,4.32,5.41,8.36,12.32,12.6,36.94,1176.11,1580.02,3140.97,5258.71,11195.57,8495.63,10955.34,11893.6,12476.6,18129.1
f_0,3.77,4.11,8.15,10.1,10.73,40.97,1058.34,2035.81,2809.03,5330.06,5087.8,12482.9,14337.27,10317.07,20939.25,22723.88
h_0,3.48,4.97,7.3,8.04,7.86,32.23,710.39,1281.73,2531.67,3816.98,4476.29,5129.42,6986.54,9191.97,10032.15,22765.0
a_0,3.5,3.46,7.14,8.06,9.79,17.56,1071.92,1673.57,2141.79,3644.98,4583.67,6487.33,9176.11,18534.81,11581.39,20109.74
e_0,2.23,4.69,5.16,8.75,10.48,28.57,845.06,1058.08,2410.36,4163.26,4514.82,4868.51,12066.46,8600.85,20932.88,18794.95
g_0,2.3,2.91,5.39,9.02,9.75,22.8,638.57,1078.97,2205.25,2636.6,,5980.52,7749.55,6775.76,8616.14,10000.56
