,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,1.19,0.7,0.76,0.59,0.52,0.78,0.62,0.74,0.84,0.83,0.43,0.76,0.72,0.56,0.84
e_1,0.7,1.51,0.72,0.92,0.67,0.59,0.86,0.78,0.76,1.45,0.9,0.9,1.0,0.74,0.55,0.78
d_1,0.79,0.72,1.55,0.57,0.74,0.53,0.86,0.87,1.36,0.6,0.91,0.93,0.96,0.84,0.76,0.84
c_1,0.78,0.63,0.81,1.57,1.19,0.52,0.93,0.81,0.53,0.76,0.7,0.78,0.85,0.77,0.73,0.75
b_1,0.83,0.8,0.7,0.63,1.61,1.23,0.83,0.78,0.85,0.86,0.64,0.8,0.81,0.62,0.71,0.76
a_1,1.03,0.81,0.87,0.94,0.52,1.75,0.96,0.83,1.01,1.09,1.03,0.9,1.26,0.63,0.81,0.65
h_1,1.38,0.95,1.07,0.81,0.87,0.8,1.76,1.17,1.15,1.17,0.98,0.91,0.96,0.86,0.82,1.36
g_1,0.99,0.9,1.37,0.91,0.98,0.78,1.05,1.85,1.15,0.97,1.24,1.6,1.27,1.07,0.87,0.96
c_0,1.22,1.1,0.92,0.78,0.84,0.79,1.14,1.07,1.7,1.31,1.9,1.12,1.29,1.21,0.96,1.22
d_0,1.13,0.83,0.69,1.67,0.92,0.81,1.1,1.18,0.83,1.6,1.17,1.04,1.49,1.09,1.09,1.23
b_0,1.26,0.88,1.09,1.19,0.77,0.68,1.29,0.99,1.17,1.13,1.71,1.15,1.35,1.91,1.12,1.27
f_0,1.08,0.88,1.07,0.98,1.04,0.92,1.45,0.97,1.41,1.27,1.32,1.79,1.52,1.15,1.81,1.12
h_0,1.48,0.98,1.12,1.22,0.96,0.62,0.96,1.41,1.25,1.1,1.17,1.12,1.0,1.07,1.18,1.48
a_0,1.15,1.09,1.03,1.15,1.13,0.68,1.48,1.1,1.23,1.28,1.04,1.27,1.52,1.75,1.13,1.38
e_0,1.57,0.9,1.01,1.17,0.84,0.87,1.52,1.3,1.48,1.27,1.33,1.02,1.41,1.18,1.81,1.18
g_0,0.92,1.14,1.57,1.1,1.06,1.05,1.13,1.1,1.36,1.06,1.18,1.76,1.13,0.98,1.1,1.08
