,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,2.29,1.54,1.75,1.59,1.42,2.9,3.78,3.23,3.39,3.48,3.0,4.18,3.68,3.03,4.07
e_1,1.66,2.46,1.53,1.93,1.71,1.75,3.44,5.55,3.18,3.24,4.03,3.97,4.83,3.65,3.84,4.67
d_1,1.76,1.75,2.65,1.48,1.58,1.56,3.15,3.32,5.65,3.11,4.15,3.82,4.57,4.26,4.07,4.42
c_1,1.61,1.5,1.73,2.64,2.5,1.85,2.97,2.88,2.79,2.64,2.66,3.62,4.34,3.53,4.04,4.38
b_1,1.59,1.6,1.73,1.61,2.72,2.75,3.41,3.5,3.55,3.28,3.48,3.85,4.77,3.01,3.89,5.09
a_1,1.82,1.64,1.98,1.69,1.42,3.3,3.7,3.62,3.7,3.71,3.63,3.62,4.5,3.48,3.98,4.34
h_1,2.09,1.64,1.9,1.89,1.53,1.4,4.34,3.47,3.35,4.08,3.69,3.49,3.81,4.21,3.95,5.12
d_0,1.74,1.38,1.41,2.7,1.95,1.71,3.5,4.35,2.88,3.62,3.39,4.16,4.89,3.94,4.21,4.65
c_0,1.87,1.94,1.6,1.88,1.47,1.77,3.52,3.82,4.55,3.54,6.01,3.58,4.98,5.29,4.23,4.94
g_1,1.68,1.65,2.43,1.89,1.69,1.53,3.06,3.3,3.66,4.85,3.85,5.03,4.49,3.5,3.99,4.29
b_0,1.91,1.61,1.8,2.07,1.41,1.77,3.4,3.94,3.23,3.45,4.84,3.26,5.01,6.25,3.76,4.27
f_0,1.6,1.35,1.98,1.86,1.82,1.85,3.98,3.35,4.12,3.29,4.24,5.14,4.72,4.7,7.27,4.8
h_0,2.0,1.69,1.81,1.77,1.65,1.84,2.98,3.42,3.23,4.05,3.89,3.85,4.1,3.35,3.63,5.43
a_0,1.87,1.76,1.74,1.81,1.82,1.42,3.42,3.42,3.37,3.82,3.76,3.58,5.49,5.3,3.45,4.74
e_0,1.91,1.42,1.84,1.85,1.88,1.93,3.56,3.04,3.71,3.58,4.02,2.72,5.28,4.36,5.52,5.14
g_0,1.71,1.46,2.38,1.76,1.52,1.77,3.38,3.1,3.86,3.07,4.23,4.93,4.21,4.17,4.7,4.64
