,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.33,1.14,0.98,0.89,0.96,0.81,2.22,3.71,1.96,1.61,2.64,2.14,2.84,2.08,2.58,2.0
f_1,0.97,2.38,1.77,0.95,0.79,0.75,1.92,1.85,1.74,2.43,1.94,1.44,2.77,1.75,2.23,1.38
e_1,0.99,1.16,2.42,1.25,0.99,0.84,1.95,1.97,1.64,3.65,2.17,2.09,2.92,1.82,2.45,1.58
c_1,1.14,0.98,1.0,2.61,1.71,0.79,1.55,1.53,1.59,2.06,1.39,1.81,2.67,1.55,2.23,1.92
b_1,1.15,0.96,0.97,0.88,2.71,1.68,1.9,2.1,1.67,2.04,1.82,2.31,2.65,1.55,2.7,1.77
a_1,1.17,1.21,1.04,1.11,0.93,3.12,2.04,2.08,1.87,2.19,2.2,1.96,2.7,1.35,2.81,1.66
h_1,1.26,1.46,1.14,1.18,0.77,0.79,3.43,2.27,2.63,2.16,2.02,2.24,2.4,1.96,3.08,1.98
c_0,1.25,1.27,1.19,0.85,0.83,0.93,2.35,3.32,2.2,2.32,4.14,2.03,3.06,2.91,3.02,2.33
g_1,1.64,1.08,0.99,1.12,0.94,0.78,1.96,2.34,3.72,1.73,2.33,3.05,2.76,2.02,2.27,2.65
d_0,0.92,1.17,1.14,1.75,1.21,0.86,1.9,1.86,1.71,3.23,2.16,1.97,2.65,1.73,2.38,1.85
b_0,1.22,1.26,1.18,1.25,0.78,0.77,2.28,2.32,2.03,2.14,3.62,2.3,3.04,3.76,2.91,2.51
f_0,1.35,1.0,0.97,1.17,1.15,0.95,2.31,2.49,2.23,2.14,2.21,3.64,2.91,2.23,3.0,3.89
h_0,1.28,1.51,1.19,1.03,1.06,0.78,1.89,2.17,2.1,2.23,2.05,2.13,2.41,2.08,3.6,1.89
a_0,1.25,1.36,1.17,1.11,0.9,0.65,2.45,2.56,2.09,2.31,2.09,2.17,3.37,3.85,3.11,2.21
g_0,1.75,1.08,1.0,1.12,0.93,0.76,2.12,2.58,1.89,2.0,2.19,3.2,2.85,2.02,2.61,2.35
e_0,1.28,1.37,0.88,1.17,0.98,1.05,2.23,2.4,2.12,2.34,2.37,2.02,3.23,1.85,2.68,3.48
