,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.09,2.23,2.33,2.38,2.29,2.15,0.55,0.78,0.53,0.5,0.66,0.45,0.26,0.4,0.45,0.45
d_1,2.75,1.08,2.81,2.63,2.38,1.98,0.65,0.46,0.61,0.46,0.43,0.43,0.31,0.23,0.4,0.38
e_1,1.58,2.52,1.09,2.79,2.44,2.6,0.74,0.81,0.59,0.57,0.66,0.59,0.35,0.38,0.56,0.99
c_1,2.55,3.4,2.26,1.09,2.45,2.1,0.68,0.71,0.34,0.67,0.57,0.48,0.41,0.39,0.5,0.48
b_1,3.16,3.12,2.95,1.69,1.11,3.09,0.91,0.86,0.6,0.76,0.62,0.8,0.44,0.43,0.67,0.57
a_1,5.26,5.23,4.19,4.69,2.45,1.12,1.38,1.15,1.24,0.88,0.93,1.02,0.65,0.68,1.28,0.85
h_1,9.02,9.47,8.72,8.89,8.15,8.76,1.52,2.71,1.92,1.71,1.81,1.73,1.75,1.26,1.48,1.58
g_1,12.45,10.62,11.0,12.51,11.69,9.36,2.69,1.59,2.51,2.18,1.99,2.63,1.31,1.66,2.21,1.99
d_0,11.63,16.72,7.39,12.46,13.1,12.14,3.52,4.41,1.84,2.44,2.77,2.37,1.91,1.78,2.24,2.56
c_0,15.31,8.24,12.98,21.12,13.34,12.37,4.01,3.08,3.9,1.81,2.44,2.68,1.88,1.79,2.54,2.56
f_0,18.04,12.61,13.7,14.02,12.71,11.22,3.81,2.81,3.35,2.45,1.79,2.55,1.77,1.27,2.24,2.49
b_0,16.84,12.13,13.33,17.68,18.12,12.45,4.17,3.72,3.35,1.8,2.84,1.92,2.09,1.81,2.76,2.42
h_0,19.01,16.48,17.44,17.68,19.18,16.12,7.53,4.87,4.39,3.38,3.35,3.12,3.37,2.83,3.12,2.98
g_0,21.17,21.44,19.96,21.54,18.01,19.98,4.93,7.06,4.45,4.4,4.12,3.79,2.54,3.69,3.67,3.43
a_0,20.09,20.67,20.8,25.02,27.69,28.63,6.5,6.59,3.88,3.59,4.37,2.39,3.31,2.72,2.16,3.8
e_0,33.36,20.8,25.02,20.46,20.82,17.76,5.84,5.16,5.36,3.99,2.69,4.74,3.37,2.89,4.88,2.18
