,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,103.61,34.47,57.3,61.55,76.41,135.77,4368.56,7526.66,13466.39,18041.69,22934.65,13947.16,59005.13,67714.66,78669.02,78586.03
d_1,34.24,116.46,33.09,48.11,67.96,146.68,4916.1,9168.85,19100.87,8298.77,24826.59,29916.36,56642.01,71913.81,91261.43,79298.26
e_1,29.51,37.76,118.64,56.64,63.19,133.44,4416.29,9889.25,12497.35,24721.41,21441.41,25623.28,62478.0,58770.94,89010.12,36927.74
c_1,27.31,32.43,31.76,162.41,93.01,145.98,3503.02,7129.86,4638.67,12452.06,15256.99,21152.01,45316.4,54168.58,77440.39,70613.77
b_1,24.2,32.26,27.43,44.69,198.92,192.08,3610.53,7241.16,7704.03,11980.79,9325.22,17743.76,46636.03,43790.17,60977.03,68514.0
a_1,23.57,24.34,28.01,26.87,34.96,380.74,3033.98,6147.36,6946.79,9195.76,19385.24,12167.41,37898.08,27171.57,54692.9,34661.94
h_1,13.31,11.59,11.72,18.96,22.12,46.99,2833.78,3547.7,4288.7,4604.63,8508.75,8161.85,9577.04,19895.14,32573.69,27054.07
g_1,9.43,12.6,7.68,14.15,17.7,34.45,1007.93,5246.4,2959.33,2982.47,6221.68,8332.87,14435.58,18766.7,12127.12,18137.84
c_0,9.34,8.62,8.31,8.36,15.95,40.63,1099.43,2622.92,5097.4,3894.02,10421.91,7109.22,15367.35,17392.36,20204.7,21213.41
d_0,7.25,3.54,6.76,20.32,15.45,36.0,1016.6,2957.2,2297.14,5979.23,6395.41,6431.8,12431.44,14124.9,20300.57,21586.01
b_0,6.39,8.54,7.13,14.36,7.69,23.3,937.92,2022.47,1908.67,3095.92,8374.13,5342.08,13401.64,27388.8,18180.11,18100.79
f_0,3.67,7.43,6.87,11.29,15.22,30.82,950.71,1915.49,2389.68,3031.76,5229.75,9086.34,11294.77,12778.14,18376.74,29850.21
h_0,5.62,6.12,5.95,9.43,9.52,25.44,442.6,1749.71,1816.8,2441.16,3697.65,3666.55,5325.69,10422.97,18239.17,12323.66
a_0,4.98,5.49,5.51,8.4,9.86,11.08,603.01,1370.06,1645.85,2459.36,2601.72,4112.8,10086.99,20676.18,15107.37,10277.75
g_0,4.53,6.44,4.25,8.31,9.08,18.84,568.82,1052.12,1808.27,2269.8,3029.84,4479.85,6691.82,9220.21,7628.66,12018.99
e_0,3.72,5.69,4.43,7.46,8.19,27.42,660.71,1500.25,1560.25,1776.72,3250.27,3035.49,8778.39,10836.44,12887.93,22951.39
