,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.5,0.79,0.7,0.6,0.7,0.56,0.99,1.42,0.77,0.74,1.05,0.85,0.99,0.8,0.88,0.91
f_1,0.72,1.52,1.18,0.68,0.57,0.56,0.83,0.76,0.71,0.94,0.82,0.45,0.84,0.68,0.81,0.58
e_1,0.77,0.68,1.53,0.83,0.75,0.61,0.81,0.83,0.74,1.38,0.89,0.93,1.0,0.76,0.88,0.49
c_1,0.88,0.73,0.69,1.6,1.22,0.54,0.65,0.54,0.73,0.75,0.56,0.74,0.92,0.65,0.83,0.81
b_1,0.85,0.83,0.7,0.54,1.63,1.14,0.96,0.94,0.81,0.77,0.73,0.95,0.97,0.71,0.95,0.76
a_1,0.88,0.98,0.78,0.88,0.54,1.76,0.98,0.95,0.95,0.91,1.07,1.0,1.16,0.56,1.11,0.63
h_1,0.97,1.22,1.01,1.16,0.7,0.68,1.76,1.13,1.4,1.03,1.03,1.14,0.99,0.99,1.35,0.97
c_0,0.96,1.11,1.01,0.89,0.8,0.84,1.25,1.65,1.25,1.32,1.97,1.08,1.36,1.36,1.32,1.06
g_1,1.43,1.01,0.89,1.0,0.85,0.69,1.06,1.07,1.81,0.92,1.05,1.46,1.2,0.96,1.06,1.02
d_0,0.78,1.06,0.91,1.63,1.05,0.73,1.14,0.95,1.15,1.62,1.2,1.04,1.31,0.91,1.06,0.86
b_0,0.98,1.19,0.98,1.23,0.77,0.76,1.3,1.0,1.19,1.11,1.69,1.33,1.36,1.85,1.28,1.12
f_0,1.2,1.02,0.8,1.18,0.99,0.77,1.19,1.33,1.21,1.25,1.1,1.72,1.34,1.35,1.18,1.93
h_0,1.15,1.42,1.06,1.08,0.92,0.73,1.0,1.21,1.35,1.23,1.17,1.19,1.1,1.05,1.57,1.02
a_0,1.27,1.21,1.1,1.22,0.92,0.65,1.54,1.17,1.21,1.34,1.0,1.14,1.53,1.77,1.4,1.14
g_0,1.64,1.02,0.96,1.11,0.88,0.72,1.17,1.32,1.08,1.13,1.16,1.78,1.24,1.12,1.15,1.24
e_0,1.12,1.41,0.85,1.05,0.99,1.03,1.47,1.44,1.43,1.42,1.2,0.99,1.46,1.06,1.11,1.76
