,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.29,0.52,0.98,0.59,0.47,0.42,1.0,0.7,1.22,1.21,0.99,0.52,1.48,0.86,1.1,0.63
d_1,0.61,2.35,0.54,0.41,0.54,0.45,1.16,1.03,2.14,0.58,1.4,1.31,1.42,1.04,1.64,1.05
e_1,0.69,0.54,2.35,0.64,0.48,0.41,1.02,1.0,1.13,2.12,1.13,1.21,1.68,0.89,1.3,0.44
c_1,0.57,0.56,0.52,2.5,0.98,0.44,0.97,0.8,0.51,1.04,0.73,0.98,1.19,0.76,1.3,0.95
b_1,0.57,0.58,0.5,0.59,2.58,0.89,1.07,0.91,0.88,1.06,0.45,0.94,1.25,0.71,1.22,1.03
a_1,0.7,0.69,0.64,0.47,0.46,2.91,1.12,1.04,1.05,1.1,1.32,0.94,1.57,0.53,1.29,0.72
h_1,1.0,0.75,0.66,0.64,0.59,0.53,3.06,1.42,1.49,1.17,1.36,1.3,1.08,1.1,1.97,1.08
g_1,0.69,1.05,0.6,0.61,0.64,0.48,1.31,3.31,1.5,1.07,1.42,1.97,1.98,1.2,1.07,1.29
c_0,0.8,0.86,0.65,0.49,0.48,0.57,1.34,1.39,2.73,1.29,2.92,1.44,1.91,1.26,1.6,1.34
d_0,0.73,0.34,0.65,1.38,0.64,0.55,1.21,1.43,1.0,2.66,1.49,1.4,1.67,1.08,1.71,1.16
b_0,0.76,0.93,0.63,0.8,0.28,0.36,1.37,1.32,1.47,1.56,2.98,1.44,2.08,2.8,1.83,1.34
f_0,0.51,0.83,0.63,0.71,0.61,0.62,1.38,1.4,1.4,1.5,1.46,3.02,1.96,1.32,1.88,2.85
h_0,0.9,0.74,0.72,0.69,0.61,0.57,0.85,1.54,1.49,1.52,1.55,1.24,1.09,1.19,2.25,1.12
a_0,0.76,0.72,0.69,0.78,0.57,0.28,1.41,1.29,1.49,1.68,1.31,1.6,2.41,3.27,1.97,1.62
g_0,0.67,1.04,0.59,0.71,0.6,0.5,1.35,0.91,1.67,1.44,1.28,2.08,1.77,1.3,1.16,1.45
e_0,0.73,0.88,0.46,0.72,0.65,0.62,1.47,1.24,1.43,1.32,1.49,1.41,1.91,1.3,1.7,3.39
