,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.57,0.81,0.79,0.96,0.9,0.43,0.47,0.48,0.38,0.38,0.35,0.36,0.34,0.73,0.35
f_1,0.87,0.41,0.85,0.77,0.82,0.69,0.33,0.49,0.34,0.32,0.48,0.35,0.35,0.22,0.28,0.3
c_1,0.73,0.78,0.39,0.96,0.87,0.72,0.45,0.42,0.22,0.43,0.37,0.34,0.39,0.34,0.37,0.28
d_1,0.88,0.84,0.86,0.38,0.74,0.79,0.45,0.3,0.56,0.4,0.39,0.35,0.4,0.29,0.32,0.22
b_1,0.73,0.86,0.55,0.91,0.38,0.91,0.49,0.49,0.41,0.43,0.37,0.74,0.37,0.35,0.36,0.39
a_1,0.82,0.99,0.88,0.8,0.5,0.29,0.47,0.44,0.4,0.41,0.35,0.48,0.5,0.37,0.4,0.33
h_1,0.71,0.78,0.7,0.74,0.73,0.6,0.25,0.44,0.32,0.31,0.3,0.32,0.3,0.34,0.29,0.29
g_1,0.75,0.73,0.73,0.79,0.78,0.75,0.31,0.23,0.33,0.28,0.36,0.28,0.29,0.24,0.32,0.31
d_0,0.45,0.78,0.89,0.99,0.69,0.69,0.41,0.49,0.26,0.31,0.33,0.38,0.35,0.25,0.36,0.34
c_0,0.81,0.9,0.94,0.45,0.72,0.62,0.43,0.4,0.42,0.23,0.31,0.36,0.3,0.28,0.29,0.32
f_0,0.65,0.99,0.78,0.71,0.68,0.65,0.4,0.28,0.34,0.3,0.22,0.33,0.29,0.31,0.41,0.2
b_0,0.8,0.76,0.81,0.66,0.82,0.63,0.39,0.41,0.34,0.18,0.31,0.21,0.4,0.27,0.28,0.27
a_0,0.79,0.71,0.76,0.6,0.88,0.97,0.44,0.41,0.36,0.28,0.29,0.2,0.2,0.25,0.35,0.26
h_0,0.67,0.81,0.68,0.64,0.71,0.68,0.48,0.42,0.39,0.34,0.29,0.32,0.32,0.34,0.31,0.29
e_0,0.78,1.14,0.66,0.64,0.67,0.69,0.39,0.36,0.37,0.33,0.19,0.36,0.28,0.32,0.19,0.24
g_0,0.65,0.77,0.79,0.72,0.62,0.68,0.32,0.5,0.34,0.31,0.39,0.33,0.33,0.23,0.37,0.32
