,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.21,1.71,1.87,2.9,21.64,36.6,35.56,35.9,45.52,52.18,80.59,102.35,127.36,112.62
f_1,1.2,1.0,1.04,1.35,1.52,2.8,16.45,23.64,30.57,33.05,37.42,46.59,57.19,72.62,79.47,108.1
d_1,0.83,0.96,1.0,1.04,1.04,2.21,16.84,19.16,18.53,34.29,34.01,36.48,59.66,58.97,81.43,67.18
c_1,0.59,0.74,0.95,1.0,1.63,2.03,14.73,12.3,25.84,19.66,28.96,33.14,51.9,55.59,71.56,72.82
b_1,0.54,0.65,0.95,0.62,1.0,3.26,13.74,13.59,19.98,26.07,28.63,28.77,43.93,50.72,58.04,68.98
a_1,0.35,0.36,0.45,0.49,0.31,1.0,8.0,8.01,10.69,10.4,14.23,14.63,27.48,25.46,40.74,37.86
h_1,0.05,0.06,0.06,0.06,0.07,0.13,1.0,1.21,1.74,1.52,1.96,2.11,3.61,3.63,4.28,6.57
d_0,0.03,0.04,0.05,0.08,0.07,0.12,0.81,1.0,1.46,1.08,1.63,1.87,3.4,3.15,4.2,4.98
g_1,0.03,0.03,0.06,0.04,0.05,0.09,0.55,0.71,1.0,1.17,1.2,1.75,2.09,2.64,3.23,3.1
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.69,0.9,0.9,1.0,1.61,1.35,2.21,2.76,3.04,3.49
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.51,0.6,0.83,0.59,1.0,1.03,2.11,2.44,2.55,2.86
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.5,0.59,0.56,0.72,0.89,1.0,1.79,1.76,3.05,2.0
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.31,0.48,0.45,0.47,0.55,1.0,0.88,1.22,1.62
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.29,0.32,0.36,0.36,0.41,0.56,1.13,1.0,1.26,1.27
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.23,0.3,0.34,0.36,0.32,0.79,0.8,1.0,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.2,0.31,0.29,0.36,0.51,0.61,0.76,0.84,1.0
