,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,6.1,1.58,1.27,1.88,1.64,1.31,5.29,4.95,13.1,7.95,7.95,8.32,10.91,4.35,10.91,8.0
f_1,2.87,6.27,1.46,1.25,1.46,1.06,5.84,4.59,6.07,6.9,3.15,7.41,10.94,5.47,8.29,7.44
d_1,1.46,1.83,6.47,1.13,1.38,1.41,6.12,5.75,4.06,13.53,7.48,9.54,9.83,7.71,13.64,8.88
c_1,1.12,1.51,1.37,6.46,2.62,1.67,5.5,5.19,7.58,2.41,7.43,5.17,10.56,7.59,9.43,7.14
b_1,1.4,1.53,1.66,1.52,7.14,2.85,4.82,5.31,7.42,6.35,5.39,2.88,12.1,7.14,9.12,5.4
a_1,1.41,1.57,1.61,1.54,1.51,10.46,6.31,6.14,7.02,7.82,8.69,7.64,9.7,6.77,12.1,5.08
h_1,1.79,2.57,2.06,1.85,1.73,1.66,16.69,8.02,7.5,9.32,8.21,9.07,8.3,7.21,16.57,8.97
g_1,1.46,1.35,2.9,2.17,1.73,1.57,6.33,19.32,7.31,9.36,14.08,10.41,14.0,10.31,9.32,8.88
d_0,1.74,1.76,0.74,3.91,1.74,1.8,6.28,7.37,16.72,6.56,9.17,6.64,13.33,8.22,11.19,9.23
c_0,2.04,1.92,2.21,1.37,1.37,1.71,7.86,7.97,8.78,17.37,10.57,18.42,14.27,10.23,13.43,12.71
f_0,1.42,1.28,2.21,2.27,1.85,2.09,6.64,6.81,8.59,9.7,18.87,9.13,12.31,22.12,14.59,10.21
b_0,2.06,1.93,2.04,2.02,1.06,1.83,6.9,7.48,8.86,8.75,10.78,19.49,14.83,9.75,16.85,21.27
h_0,1.83,2.59,2.01,1.92,1.64,1.7,4.18,9.76,8.8,7.64,9.33,8.14,9.52,8.73,17.43,9.68
e_0,1.01,1.89,2.14,2.24,1.58,2.31,8.14,7.49,9.68,9.73,8.04,8.5,16.16,27.88,13.19,9.62
g_0,1.59,1.65,2.95,1.85,1.58,1.91,7.38,5.84,7.22,8.99,15.16,9.58,11.52,10.45,10.26,8.82
a_0,1.69,2.22,2.38,2.06,1.41,1.12,7.9,8.78,7.76,8.91,8.96,10.21,15.45,10.99,12.86,25.41
