,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.19,0.47,0.22,0.21,0.14,0.18,0.42,0.37,0.44,0.41,0.4,0.06,0.57,0.37,0.47,0.24
e_1,0.24,2.27,0.26,0.18,0.21,0.16,0.43,0.33,0.89,0.54,0.4,0.45,0.53,0.34,0.47,0.11
c_1,0.22,0.22,2.33,0.19,0.46,0.14,0.42,0.35,0.46,0.1,0.29,0.45,0.65,0.3,0.42,0.33
d_1,0.29,0.19,0.19,2.4,0.18,0.16,0.43,0.35,0.11,0.89,0.5,0.47,0.58,0.41,0.66,0.31
b_1,0.23,0.18,0.25,0.2,2.59,0.35,0.43,0.36,0.54,0.44,0.1,0.34,0.65,0.23,0.61,0.33
a_1,0.34,0.26,0.24,0.18,0.16,3.12,0.38,0.37,0.54,0.47,0.31,0.31,0.68,0.09,0.35,0.24
h_1,0.66,0.36,0.27,0.47,0.3,0.22,2.89,0.64,0.76,0.7,0.82,0.66,0.43,0.59,0.98,0.6
g_1,0.32,0.39,0.4,0.69,0.26,0.24,0.55,3.09,0.7,0.67,0.86,1.23,0.95,0.78,0.3,0.73
d_0,0.37,0.33,0.83,0.15,0.31,0.21,0.74,0.66,2.22,0.72,0.8,1.03,1.28,0.86,0.93,0.82
c_0,0.52,0.35,0.18,0.5,0.25,0.3,0.6,0.7,0.97,2.34,1.92,0.85,1.09,0.79,1.24,0.83
b_0,0.41,0.39,0.35,0.57,0.08,0.32,0.78,0.8,0.75,0.66,2.52,0.92,1.17,1.37,0.98,0.92
f_0,0.19,0.29,0.48,0.55,0.3,0.17,0.69,0.84,1.06,0.94,1.03,2.74,1.55,1.01,1.17,1.59
h_0,0.55,0.33,0.5,0.46,0.3,0.2,0.19,0.94,0.76,0.78,0.97,0.71,0.4,0.76,1.04,0.61
a_0,0.46,0.44,0.48,0.39,0.27,,0.83,0.77,0.79,0.66,1.01,1.05,1.04,2.89,0.95,0.73
g_0,0.39,0.27,0.35,0.74,0.34,0.23,0.68,0.31,0.62,0.54,1.19,1.21,1.08,0.71,0.41,0.62
e_0,0.46,0.1,0.54,0.46,0.47,0.26,0.49,0.64,1.03,0.89,1.15,1.03,1.34,0.53,1.16,3.28
