,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.45,1.83,1.11,1.11,1.16,1.15,2.31,2.35,2.76,2.43,1.77,2.58,3.01,2.13,2.86,2.95
e_1,1.19,2.46,1.51,1.11,1.14,1.31,2.31,2.24,4.28,2.54,3.01,2.83,3.21,2.37,2.92,3.46
c_1,1.29,1.04,2.52,1.3,1.96,0.94,2.5,2.36,2.25,1.61,2.52,2.09,3.39,2.83,2.57,3.55
d_1,1.39,1.17,1.03,2.56,1.2,1.03,2.43,2.05,2.22,4.44,2.79,2.68,3.42,2.83,2.49,3.59
b_1,1.24,1.21,1.13,1.16,2.73,2.28,2.62,2.1,2.34,2.65,2.47,1.89,3.04,2.66,2.54,3.09
a_1,1.32,1.3,1.54,1.31,0.86,3.37,2.39,2.64,2.69,2.11,2.94,3.51,3.47,3.21,1.85,2.94
h_1,1.73,1.34,1.32,1.41,1.24,1.23,4.03,3.32,2.81,2.79,2.84,2.77,2.96,3.18,2.61,4.57
g_1,1.29,1.15,1.3,2.03,1.27,1.16,2.29,4.49,2.51,2.9,4.28,3.0,2.92,2.73,3.11,2.72
d_0,1.31,1.17,2.18,0.86,1.5,1.35,2.5,2.86,3.83,2.2,3.04,2.86,3.64,2.95,3.33,3.46
c_0,1.55,1.39,1.28,1.28,0.95,1.43,2.48,2.69,3.23,4.19,2.8,5.33,4.11,3.31,3.47,4.16
f_0,1.06,1.14,1.62,1.5,1.52,1.37,2.51,2.27,3.12,2.98,4.33,3.47,3.96,5.05,3.08,3.16
b_0,1.4,1.42,1.54,1.56,0.87,0.98,2.91,3.03,3.03,2.62,2.8,4.53,4.38,2.83,5.58,3.66
h_0,1.71,1.3,1.39,1.43,1.37,1.2,2.24,3.6,2.76,2.77,2.89,2.81,3.14,3.03,3.13,4.25
e_0,1.58,1.01,1.32,1.49,1.41,1.39,2.47,3.13,2.9,3.19,2.85,3.85,4.09,4.98,3.5,3.39
a_0,1.31,1.22,1.52,1.71,1.32,1.01,3.06,2.91,2.99,3.02,2.87,2.46,4.19,2.75,4.94,3.93
g_0,1.19,1.19,1.2,1.79,1.51,1.33,2.24,2.51,2.86,3.08,4.25,3.26,3.66,3.62,3.07,2.87
