,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.76,1.04,0.63,0.68,0.59,0.45,0.74,0.75,0.79,0.7,0.91,0.41,0.83,0.87,0.94,0.59
e_1,0.73,2.78,0.51,0.68,0.54,0.52,1.08,0.9,1.71,1.03,1.17,1.15,1.09,0.96,1.04,0.56
d_1,0.63,0.54,2.99,0.51,0.54,0.74,0.85,0.95,0.39,1.86,1.19,1.0,0.92,1.16,0.95,1.22
c_1,0.64,0.64,0.55,3.1,1.11,0.48,0.76,0.75,0.84,0.29,0.69,0.9,0.95,0.9,0.84,0.82
b_1,0.54,0.52,0.65,0.62,3.59,1.2,0.84,0.82,0.93,0.71,0.33,1.1,0.68,0.91,0.86,1.0
a_1,0.63,0.61,0.69,0.58,0.63,4.64,1.13,0.95,0.84,0.97,0.77,0.88,0.44,1.06,0.93,0.9
h_1,1.03,0.64,0.79,0.75,0.61,0.62,3.12,1.44,1.23,1.19,1.01,1.04,0.98,0.65,1.64,1.35
g_1,0.63,0.73,1.37,0.81,0.56,0.66,0.93,3.64,0.61,1.01,1.03,1.47,0.87,1.18,0.83,1.1
d_0,0.75,0.66,0.38,1.44,0.77,0.71,1.17,1.09,2.26,0.85,1.05,1.14,1.21,1.07,1.12,1.19
c_0,0.84,0.75,0.85,0.41,0.56,0.69,1.08,1.34,1.19,2.48,2.66,1.38,1.5,1.26,1.2,1.32
b_0,0.87,0.75,0.8,0.81,0.48,0.61,1.16,1.11,1.21,1.03,2.51,0.97,2.77,1.42,1.27,1.39
f_0,0.52,0.61,0.95,0.86,0.66,0.84,1.25,1.08,1.36,1.18,1.24,2.92,1.15,1.06,1.33,2.81
a_0,0.96,0.73,0.8,0.85,0.69,0.29,1.21,1.29,1.07,0.99,1.38,1.08,3.41,1.23,1.26,0.88
h_0,1.24,0.77,0.85,0.78,0.63,0.53,0.6,1.62,0.98,0.99,1.08,1.16,1.19,0.77,1.59,1.28
g_0,0.64,0.71,1.18,0.74,0.69,0.81,1.15,0.67,1.15,1.01,1.03,1.88,1.36,1.23,0.77,1.51
e_0,0.79,0.52,0.84,0.99,0.68,0.67,1.14,1.16,1.22,1.29,1.24,0.78,1.45,1.34,1.33,4.2
