,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.13,4.33,5.03,4.9,5.82,4.95,1.07,1.76,1.05,0.96,0.91,1.69,0.85,0.48,0.92,0.99
e_1,3.04,1.13,5.96,4.91,5.89,5.16,1.72,1.63,1.29,1.16,1.12,1.37,1.11,0.84,0.8,2.13
d_1,5.33,6.53,1.12,6.01,5.04,4.76,1.5,0.84,2.5,1.06,1.17,1.01,1.05,0.8,0.52,1.16
c_1,5.17,5.12,6.83,1.13,5.64,6.11,1.64,1.51,0.63,2.47,1.06,1.03,1.05,0.8,0.85,0.94
b_1,6.87,7.63,7.47,3.66,1.14,6.45,2.4,2.56,1.61,1.75,2.67,1.53,1.76,1.19,1.11,1.65
a_1,11.49,10.07,7.22,11.17,4.34,1.14,2.99,2.97,1.95,2.06,2.11,1.59,8.13,1.82,1.21,1.99
h_1,19.6,14.27,18.55,19.62,19.05,14.88,1.78,5.76,3.68,3.85,3.78,3.45,3.68,5.22,2.42,3.43
g_1,24.71,21.79,20.32,25.94,22.86,20.22,4.64,1.82,4.5,4.28,4.55,4.27,4.11,2.28,5.45,4.13
d_0,24.88,12.36,58.84,24.01,22.48,23.94,5.59,10.79,2.42,5.01,4.52,4.2,4.92,3.94,3.24,4.02
c_0,29.81,21.53,11.15,60.7,30.14,22.16,5.71,7.23,6.59,2.29,5.09,4.73,5.22,3.8,3.67,3.98
b_0,27.75,21.66,19.73,36.56,74.14,29.34,8.06,7.73,6.04,2.62,2.52,4.92,5.87,4.06,4.48,4.53
f_0,60.12,25.87,25.47,30.07,26.63,29.76,9.67,6.48,6.09,5.67,7.47,2.47,7.42,4.8,2.79,9.06
a_0,36.07,29.0,35.19,33.51,48.98,61.26,10.68,11.15,6.65,5.77,3.33,6.96,2.52,4.92,4.3,5.43
h_0,37.97,35.25,29.42,33.16,35.17,27.77,16.78,9.71,7.95,7.18,6.09,7.06,7.17,7.89,4.81,6.79
g_0,50.1,40.86,41.12,48.74,48.98,41.66,8.93,17.44,9.59,8.85,8.75,9.02,9.2,5.22,9.91,7.95
e_0,72.14,63.09,35.93,51.06,39.19,43.4,10.28,12.59,8.15,8.5,8.24,3.75,12.82,6.63,5.54,2.61
