,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.22,0.03,0.06,0.03,0.03,0.01,0.07,0.05,0.06,0.07,0.07,,0.05,0.04,0.03,0.07
d_1,0.03,2.29,0.02,0.03,0.03,0.02,0.07,,0.05,0.1,0.05,0.04,0.1,0.06,0.05,0.07
e_1,0.03,0.03,2.29,0.02,0.03,0.03,0.04,0.12,0.04,0.07,0.05,0.05,0.09,0.04,,0.05
c_1,0.03,0.03,0.03,2.39,0.04,0.03,0.04,0.06,0.06,,0.05,0.06,0.08,0.05,0.04,0.08
b_1,0.03,0.04,0.03,0.02,2.52,0.04,0.07,0.06,0.04,0.05,,0.06,0.1,0.03,,0.08
a_1,0.03,0.03,0.03,0.02,0.03,2.95,0.05,0.08,0.05,0.05,0.04,0.06,0.08,,,0.05
h_1,0.14,0.07,0.13,0.12,0.08,0.07,2.68,0.2,0.24,0.32,0.22,0.22,,0.18,0.22,0.34
d_0,0.13,,0.12,0.33,0.14,0.12,0.24,1.97,0.19,0.3,0.35,0.22,0.37,0.27,0.22,0.41
g_1,0.11,0.16,0.08,0.08,0.12,0.08,0.22,0.3,2.98,0.18,0.21,0.3,0.25,0.15,0.2,
c_0,0.16,0.1,0.18,,0.11,0.09,0.29,0.37,0.21,2.08,0.53,0.32,0.43,0.21,0.22,0.32
b_0,0.14,0.17,0.13,0.15,,0.08,0.3,0.39,0.21,0.22,2.12,0.27,0.46,0.44,0.34,0.29
f_0,,0.15,0.15,0.12,0.17,0.14,0.27,0.36,0.28,0.31,0.31,2.34,0.31,0.23,0.28,0.33
h_0,0.38,0.24,0.2,0.18,0.19,0.15,,0.48,0.51,0.4,0.48,0.36,,0.26,0.44,0.58
a_0,0.12,0.17,0.17,0.13,0.1,,0.28,0.3,0.17,0.36,0.25,0.2,0.63,2.64,,0.4
e_0,0.15,0.18,,0.16,,,0.31,0.34,0.21,0.46,0.22,0.29,0.55,,2.76,0.29
g_0,0.19,0.3,0.11,0.24,0.21,0.2,0.36,0.38,,0.45,0.53,0.79,0.44,0.42,0.29,
