,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.42,0.58,0.36,0.39,0.3,0.29,0.47,0.29,0.25,0.3,0.27,0.28,0.18,0.15,0.22
f_1,0.76,0.95,0.42,0.42,0.32,0.28,0.27,0.29,0.25,0.22,0.26,0.15,0.21,0.19,0.17,0.19
c_1,0.41,0.49,0.95,0.51,0.63,0.28,0.3,0.25,0.17,0.24,0.2,0.23,0.27,0.2,0.19,0.22
d_1,0.49,0.54,0.37,0.95,0.37,0.29,0.31,0.24,0.43,0.26,0.35,0.29,0.27,0.24,0.2,0.22
b_1,0.44,0.58,0.42,0.45,0.94,0.63,0.31,0.3,0.3,0.26,0.14,0.24,0.25,0.17,0.22,0.24
a_1,0.54,0.65,0.6,0.56,0.34,0.94,0.36,0.37,0.35,0.3,0.36,0.28,0.31,0.15,0.22,0.26
h_1,0.7,0.98,0.7,0.75,0.57,0.47,0.76,0.44,0.47,0.51,0.38,0.38,0.29,0.31,0.35,0.43
d_0,0.68,0.77,1.27,0.54,0.62,0.49,0.5,0.65,0.37,0.41,0.5,0.42,0.43,0.34,0.31,0.37
c_0,0.88,0.86,0.69,0.83,0.49,0.53,0.47,0.59,0.66,0.43,0.78,0.42,0.42,0.37,0.33,0.4
g_1,0.7,0.66,0.76,1.02,0.66,0.53,0.46,0.49,0.48,0.76,0.45,0.64,0.37,0.35,0.36,0.31
b_0,0.91,0.79,0.97,0.79,0.53,0.44,0.56,0.57,0.41,0.43,0.68,0.43,0.46,0.57,0.32,0.42
f_0,0.74,0.71,0.92,0.77,0.77,0.66,0.62,0.56,0.52,0.42,0.49,0.67,0.46,0.38,0.53,0.38
h_0,0.81,1.15,0.87,0.86,0.75,0.51,0.49,0.62,0.56,0.56,0.51,0.42,0.39,0.38,0.36,0.48
a_0,1.04,0.87,0.88,0.88,0.75,0.5,0.61,0.65,0.58,0.54,0.45,0.6,0.52,0.63,0.34,0.47
e_0,0.71,1.12,0.85,0.98,0.73,0.62,0.64,0.61,0.58,0.55,0.58,0.46,0.5,0.53,0.61,0.36
g_0,0.87,0.87,0.9,1.33,0.71,0.51,0.6,0.5,0.55,0.38,0.49,0.67,0.49,0.4,0.45,0.38
