,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.44,1.51,1.61,1.69,1.44,1.4,0.36,0.56,0.32,0.33,0.35,0.71,0.18,0.28,0.33,0.35
e_1,0.91,0.43,2.0,1.88,2.01,2.25,0.55,0.58,0.36,0.37,0.31,0.48,0.23,0.8,0.43,0.28
d_1,1.89,1.91,0.42,1.8,1.48,1.58,0.49,0.3,0.34,0.66,0.36,0.31,0.24,0.32,0.27,0.16
c_1,1.79,1.48,2.34,0.4,2.23,1.71,0.49,0.58,0.73,0.2,0.36,0.34,0.23,0.43,0.37,0.25
b_1,2.23,2.34,1.61,1.0,0.39,1.9,0.55,0.59,0.5,0.46,0.68,0.36,0.4,0.41,0.41,0.3
a_1,2.84,2.54,2.39,2.43,1.36,0.31,0.71,0.81,0.54,0.62,0.65,0.57,0.45,0.47,1.14,0.38
h_1,2.88,2.72,2.97,2.8,2.86,2.2,0.32,0.8,0.6,0.57,0.52,0.63,0.61,0.53,0.52,0.46
g_1,3.07,2.97,2.87,2.98,3.51,3.45,0.76,0.3,0.57,0.65,0.57,0.63,0.34,0.63,0.6,0.52
c_0,3.63,3.84,1.6,6.65,3.17,2.7,1.06,1.06,0.37,1.18,0.8,0.62,0.46,0.65,0.57,0.4
d_0,3.27,1.8,5.84,3.48,3.7,3.63,1.14,1.15,0.68,0.37,0.67,0.65,0.45,0.9,0.87,0.54
b_0,3.35,2.75,3.02,4.72,5.79,3.21,1.1,0.91,0.36,0.74,0.36,0.61,0.49,0.65,0.62,0.45
f_0,6.26,2.74,3.05,3.88,2.95,3.62,0.93,0.55,0.63,0.77,0.64,0.35,0.48,0.97,0.64,0.28
h_0,3.83,3.76,3.87,4.24,3.7,4.31,1.83,1.2,0.72,0.79,0.72,0.72,0.9,0.68,0.72,0.49
e_0,6.67,5.42,3.23,5.02,4.29,2.74,1.41,1.22,0.68,0.79,0.76,0.4,0.67,0.3,0.68,0.45
a_0,4.51,3.91,4.04,5.39,5.12,5.61,1.02,1.14,0.65,0.95,0.38,0.67,0.6,0.69,0.32,0.51
g_0,5.29,4.33,4.37,4.59,4.87,4.61,0.83,1.72,0.85,0.87,0.86,0.87,0.53,0.77,0.63,1.08
