,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.87,1.34,1.17,1.52,1.34,0.77,0.7,0.59,0.71,0.6,0.65,0.48,0.64,1.84,0.59
f_1,1.42,0.4,1.55,1.41,1.0,1.13,0.53,0.53,0.54,0.88,0.57,1.03,0.38,0.62,0.46,0.5
c_1,1.22,1.17,0.4,1.36,1.57,1.31,0.7,0.39,0.82,0.76,0.47,0.52,0.48,0.55,0.61,0.55
d_1,1.47,1.14,1.27,0.4,1.48,1.15,0.67,1.16,0.71,0.48,0.57,0.57,0.47,0.5,0.55,0.35
b_1,1.36,1.67,0.76,1.06,0.37,2.07,0.69,0.64,0.75,0.82,1.41,0.59,0.52,0.59,0.53,0.46
a_1,1.44,1.58,1.42,1.46,0.71,0.32,0.78,0.62,0.5,0.68,0.74,0.55,0.5,1.01,0.69,0.52
h_1,0.86,1.26,1.02,1.04,0.95,0.71,0.26,0.43,0.4,0.55,0.44,0.4,0.6,0.4,0.39,0.4
d_0,0.58,1.19,1.15,1.69,1.03,0.89,0.56,0.27,0.4,0.45,0.46,0.42,0.47,0.42,0.4,0.5
c_0,0.88,1.08,2.66,0.61,0.78,1.19,0.58,0.51,0.27,0.54,0.47,0.49,0.45,0.58,0.42,0.41
g_1,0.93,0.92,0.99,1.02,0.93,1.06,0.42,0.57,0.46,0.23,0.49,0.49,0.35,0.36,0.4,0.63
b_0,0.88,1.09,1.38,0.84,1.75,0.82,0.49,0.45,0.27,0.49,0.24,0.37,0.34,0.47,0.42,0.35
f_0,0.89,1.48,0.94,0.94,1.11,0.89,0.52,0.39,0.42,0.36,0.46,0.25,0.46,0.46,0.47,0.23
h_0,0.99,0.98,0.93,0.97,0.95,0.89,0.71,0.39,0.34,0.52,0.42,0.42,0.57,0.33,0.39,0.42
a_0,0.82,0.78,0.94,1.19,1.12,,0.66,0.46,0.34,0.54,0.27,0.5,0.42,0.21,0.43,0.34
e_0,1.15,1.47,0.92,0.99,1.12,0.7,0.41,0.41,0.36,0.52,0.4,0.26,0.4,0.43,0.21,0.33
g_0,0.93,0.93,0.84,1.11,1.04,0.92,0.4,0.34,0.38,0.8,0.45,0.52,0.28,0.44,0.43,0.5
