,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,14.9,1.2,0.49,0.53,0.47,0.51,0.85,0.78,0.77,0.8,0.36,1.03,0.84,0.98,0.72,0.8
e_1,0.59,15.17,0.47,0.65,0.69,0.47,0.75,0.9,2.09,0.97,1.1,1.02,1.05,0.94,0.51,1.03
d_1,0.61,0.5,18.3,0.47,0.45,0.53,0.84,0.92,0.4,2.3,1.09,1.1,1.15,1.07,1.16,1.03
c_1,0.52,0.51,0.56,19.17,1.24,0.44,0.79,0.83,0.78,0.21,0.99,0.6,0.78,0.86,1.03,0.84
b_1,0.55,0.53,0.55,0.57,19.58,1.43,1.07,0.79,1.08,0.65,0.8,0.35,0.94,0.56,0.9,0.82
a_1,0.66,0.5,0.63,0.48,0.55,32.03,1.06,0.92,0.61,0.94,0.94,0.94,1.11,0.3,0.91,0.95
h_1,1.16,0.56,0.83,0.79,0.64,0.84,5.04,1.51,1.11,0.77,0.95,1.08,0.62,1.08,1.17,1.62
g_1,0.69,0.6,1.28,0.79,0.6,0.73,1.14,5.34,0.91,1.1,1.83,1.07,0.95,1.27,1.16,0.69
d_0,0.66,0.68,0.3,2.23,0.82,0.92,1.08,1.26,3.11,0.65,1.42,0.97,1.08,1.31,0.98,1.1
c_0,0.88,0.74,0.97,0.47,0.51,0.64,1.29,1.1,1.0,3.29,1.16,3.87,1.35,1.71,1.39,1.42
f_0,0.39,0.52,0.99,0.9,0.85,0.82,1.3,1.14,1.17,1.49,3.83,1.01,1.28,0.98,3.3,1.64
b_0,0.85,0.54,0.99,0.96,0.36,0.51,1.15,1.18,1.38,1.19,1.38,4.14,1.6,3.4,1.22,1.5
h_0,1.34,0.71,0.86,0.67,0.52,0.69,0.66,1.84,1.01,1.1,1.04,1.43,0.73,1.29,0.96,1.87
a_0,0.73,0.58,1.26,0.81,0.81,0.31,1.2,1.13,0.99,1.04,1.28,1.11,1.46,4.45,1.43,1.79
e_0,0.86,0.33,0.8,0.8,0.84,0.88,1.65,0.96,1.64,1.2,1.42,1.56,1.72,1.41,4.6,1.04
g_0,0.57,0.57,1.59,0.77,0.73,0.68,0.96,0.8,0.83,1.58,2.43,1.34,1.1,1.4,1.55,0.78
