,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.44,2.38,1.55,1.78,1.4,1.56,2.89,3.29,3.32,3.87,3.69,3.26,4.43,2.75,3.55,4.48
e_1,1.55,2.48,1.56,2.12,1.7,1.52,3.34,3.47,3.23,5.59,3.8,4.14,4.71,3.5,3.88,4.77
d_1,1.78,1.61,2.51,1.47,1.73,1.73,3.29,2.85,5.41,2.92,4.18,3.55,4.38,4.07,3.6,3.94
c_1,1.68,1.44,1.63,2.71,2.54,1.81,3.16,3.29,2.52,3.09,2.94,3.55,4.25,3.44,3.52,4.56
b_1,1.9,1.55,1.64,1.42,2.74,2.62,3.26,3.16,3.86,3.49,3.22,3.66,4.72,3.76,3.6,4.48
a_1,1.89,1.66,1.74,1.7,1.55,3.46,3.67,2.96,3.86,3.38,4.11,3.22,4.64,4.12,3.51,4.72
h_1,2.02,1.71,1.77,1.73,1.7,1.6,4.29,3.67,3.25,3.49,3.44,3.83,4.24,3.65,4.27,6.15
g_1,1.57,1.46,2.18,1.7,1.73,1.7,3.23,4.63,3.69,3.19,3.7,4.87,4.1,3.89,4.12,4.49
c_0,1.84,1.93,1.61,1.78,1.43,1.65,3.59,3.61,4.52,4.43,6.12,4.07,5.21,4.22,4.74,5.28
d_0,1.73,1.53,1.59,2.71,1.91,1.65,3.45,3.28,2.63,4.58,3.57,3.65,4.64,4.06,3.87,5.38
b_0,1.74,1.72,1.75,2.0,1.54,1.6,3.45,3.51,3.23,4.08,4.7,3.87,5.32,4.41,6.66,5.06
f_0,1.42,1.4,1.99,1.88,1.88,1.88,3.41,3.41,3.95,3.82,3.99,4.78,5.41,6.9,4.37,4.76
h_0,1.94,1.79,1.86,1.94,1.57,1.57,2.98,4.25,3.65,3.65,3.76,3.45,4.16,3.3,3.59,5.51
e_0,2.06,1.57,1.82,1.8,1.76,1.84,3.6,3.52,3.76,3.47,3.87,2.84,5.57,5.48,4.32,5.1
a_0,1.82,1.71,1.92,1.79,1.62,1.49,3.28,3.41,3.9,3.6,3.51,4.14,5.47,3.99,5.46,5.31
g_0,1.55,1.64,2.28,1.85,1.73,1.73,2.79,3.5,3.66,3.13,4.13,4.84,4.72,4.5,4.09,4.22
